event_date,contract,CME,PM,Kalshi
2024-01-31,0bp,1717153.0,8651.89907,176465.0
2024-03-20,0bp,1182872.0,60690.462319,255738.0
2024-06-12,0bp,489426.0,265982.48517,458584.0
2024-07-31,0bp,1275485.0,347488.94771700003,513208.0
2024-11-07,0bp,4881991.0,5318141.480784,385296.0
2024-12-18,0bp,1030310.0,5030206.041118,1204354.0
2025-01-29,0bp,4696672.0,13468990.60983,942876.0
2025-03-19,0bp,957908.0,10807724.612185,1322446.0
2025-05-07,0bp,6096099.0,12472402.345136998,13237803.0
2025-06-18,0bp,1468797.0,16233569.608437002,12292071.0
2025-07-30,0bp,2947701.0,16809909.629703,15028508.0
2025-09-17,0bp,2872140.0,42168720.93892,42702224.0
2025-10-29,0bp,4981433.0,30657108.257724002,15137249.0
2025-12-10,0bp,2479460.0,29135589.106845997,15760947.0
2026-01-28,0bp,5466639.0,55784911.89438,10488486.0
2026-03-18,0bp,2034174.0,52057383.79591001,13370432.0
2026-04-29,0bp,2220744.0,24931258.062220998,6884363.13
2024-01-31,25bp_dec,1717153.0,36499.752765000005,102686.0
2024-03-20,25bp_dec,1182872.0,7532.922979,133511.0
2024-06-12,25bp_dec,489426.0,351548.703235,407221.0
2024-07-31,25bp_dec,1275485.0,596645.118738,566064.0
2024-11-07,25bp_dec,4881991.0,3926452.652818,406066.0
2024-12-18,25bp_dec,1030310.0,4962501.039694,1573321.0
2025-01-29,25bp_dec,4696672.0,11165440.797466999,938590.0
2025-03-19,25bp_dec,957908.0,11161366.577917,944579.0
2025-05-07,25bp_dec,6096099.0,13113179.144627,17739246.0
2025-06-18,25bp_dec,1468797.0,13500675.913892,17061883.0
2025-07-30,25bp_dec,2947701.0,13772840.604174001,20534325.0
2025-09-17,25bp_dec,2872140.0,22947145.006249998,18154557.0
2025-10-29,25bp_dec,4981433.0,30596524.726897,9913590.0
2025-12-10,25bp_dec,2479460.0,29082557.262455,12184560.0
2026-01-28,25bp_dec,5466639.0,64497221.072736,18466757.0
2026-03-18,25bp_dec,2034174.0,58615583.619204,14345705.0
2026-04-29,25bp_dec,2220744.0,32843611.462204,5803643.83
