time,open,high,low,close,Volume
1732489200,95.74,95.76,95.74,95.755,141
1732489260,95.755,95.755,95.755,95.755,16
1732489380,95.755,95.755,95.755,95.755,9
1732489440,95.755,95.755,95.755,95.755,4
1732489740,95.755,95.755,95.755,95.755,4
1732489800,95.755,95.755,95.755,95.755,11
1732490040,95.755,95.755,95.755,95.755,2
1732491180,95.75,95.75,95.75,95.75,8
1732492320,95.75,95.75,95.75,95.75,20
1732492440,95.75,95.75,95.75,95.75,33
1732492560,95.75,95.75,95.75,95.75,4
1732493940,95.755,95.755,95.755,95.755,3
1732494960,95.75,95.75,95.75,95.75,1
1732497540,95.75,95.75,95.75,95.75,12
1732497600,95.75,95.75,95.75,95.75,1
1732497660,95.75,95.75,95.75,95.75,4
1732499280,95.75,95.75,95.75,95.75,3
1732499460,95.75,95.75,95.75,95.75,46
1732499520,95.75,95.75,95.75,95.75,1
1732499700,95.75,95.75,95.75,95.75,4
1732499760,95.75,95.75,95.75,95.75,72
1732499820,95.75,95.75,95.75,95.75,12
1732499880,95.75,95.75,95.75,95.75,5
1732501080,95.75,95.75,95.75,95.75,20
1732503660,95.755,95.755,95.755,95.755,22
1732503840,95.755,95.755,95.755,95.755,20
1732503900,95.755,95.755,95.755,95.755,10
1732505280,95.755,95.755,95.755,95.755,7
1732505820,95.755,95.755,95.755,95.755,3
1732507200,95.755,95.755,95.755,95.755,1
1732509480,95.755,95.755,95.755,95.755,6
1732509660,95.755,95.755,95.755,95.755,10
1732514580,95.755,95.755,95.755,95.755,9
1732514700,95.755,95.755,95.755,95.755,3
1732515300,95.755,95.755,95.755,95.755,6
1732516140,95.755,95.755,95.755,95.755,3
1732516200,95.755,95.755,95.755,95.755,3
1732516260,95.755,95.755,95.755,95.755,3
1732516440,95.755,95.755,95.755,95.755,30
1732516500,95.755,95.755,95.755,95.755,81
1732517520,95.755,95.755,95.755,95.755,6
1732518360,95.755,95.755,95.755,95.755,27
1732519440,95.755,95.755,95.755,95.755,118
1732519500,95.755,95.755,95.755,95.755,6
1732520400,95.755,95.755,95.755,95.755,270
1732520460,95.755,95.755,95.755,95.755,3
1732520760,95.755,95.755,95.755,95.755,13
1732520940,95.755,95.755,95.755,95.755,7
1732521360,95.75,95.75,95.75,95.75,3
1732521420,95.75,95.75,95.75,95.75,21
1732521480,95.75,95.75,95.75,95.75,3
1732521540,95.75,95.75,95.75,95.75,110
1732521600,95.75,95.75,95.75,95.75,3
1732522500,95.745,95.745,95.745,95.745,34
1732522920,95.75,95.75,95.75,95.75,4
1732523400,95.745,95.745,95.745,95.745,106
1732523820,95.745,95.745,95.745,95.745,8
1732523940,95.745,95.745,95.745,95.745,11
1732524120,95.745,95.745,95.745,95.745,10
1732524180,95.745,95.745,95.745,95.745,12
1732524660,95.745,95.745,95.745,95.745,22
1732524960,95.745,95.745,95.745,95.745,42
1732525080,95.745,95.745,95.745,95.745,42
1732525320,95.745,95.745,95.745,95.745,16
1732525500,95.745,95.745,95.745,95.745,2
1732525980,95.745,95.745,95.745,95.745,86
1732526100,95.745,95.745,95.745,95.745,8
1732526280,95.745,95.745,95.745,95.745,4
1732526340,95.745,95.745,95.745,95.745,4
1732529820,95.745,95.745,95.745,95.745,81
1732529880,95.745,95.745,95.745,95.745,2
1732529940,95.745,95.745,95.745,95.745,31
1732530060,95.745,95.745,95.745,95.745,8
1732530960,95.75,95.75,95.75,95.75,357
1732531020,95.75,95.75,95.75,95.75,17
1732531380,95.75,95.75,95.75,95.75,8
1732531500,95.75,95.75,95.75,95.75,8
1732532220,95.75,95.75,95.75,95.75,4
1732533900,95.75,95.75,95.75,95.75,20
1732533960,95.75,95.75,95.75,95.75,18
1732534020,95.75,95.75,95.75,95.75,8
1732534140,95.75,95.75,95.75,95.75,53
1732534200,95.75,95.75,95.75,95.75,4
1732534320,95.75,95.75,95.75,95.75,8
1732534380,95.75,95.75,95.75,95.75,4
1732534440,95.75,95.75,95.75,95.75,8
1732534800,95.75,95.75,95.75,95.75,43
1732534860,95.75,95.75,95.75,95.75,10
1732534920,95.75,95.75,95.75,95.75,1
1732535640,95.745,95.745,95.745,95.745,114
1732535700,95.745,95.745,95.745,95.745,5
1732535760,95.745,95.745,95.745,95.745,5
1732536060,95.745,95.745,95.745,95.745,58
1732536180,95.745,95.745,95.745,95.745,74
1732536300,95.745,95.745,95.745,95.745,5
1732536420,95.745,95.745,95.745,95.745,5
1732536540,95.745,95.745,95.745,95.745,5
1732536600,95.745,95.745,95.745,95.745,20
1732536660,95.745,95.745,95.745,95.745,5
1732536720,95.745,95.745,95.745,95.745,50
1732537020,95.745,95.745,95.745,95.745,2
1732537440,95.74,95.74,95.74,95.74,1
1732537500,95.745,95.745,95.745,95.745,98
1732537560,95.745,95.745,95.745,95.745,75
1732537740,95.745,95.745,95.745,95.745,55
1732538220,95.75,95.75,95.75,95.75,18
1732538280,95.75,95.75,95.75,95.75,11
1732538340,95.75,95.75,95.75,95.75,12
1732538400,95.75,95.75,95.75,95.75,41
1732538880,95.75,95.75,95.75,95.75,8
1732538940,95.75,95.75,95.75,95.75,215
1732539240,95.75,95.75,95.75,95.75,74
1732539300,95.75,95.75,95.75,95.75,5
1732539600,95.755,95.755,95.755,95.755,179
1732539660,95.76,95.76,95.76,95.76,1
1732539780,95.76,95.76,95.76,95.76,5
1732540200,95.76,95.76,95.76,95.76,17
1732540380,95.76,95.76,95.76,95.76,60
1732540440,95.76,95.76,95.76,95.76,35
1732540500,95.76,95.76,95.76,95.76,43
1732540680,95.765,95.765,95.765,95.765,82
1732540740,95.765,95.765,95.765,95.765,12
1732540800,95.76,95.76,95.76,95.76,4
1732540860,95.76,95.76,95.76,95.76,90
1732540920,95.76,95.76,95.76,95.76,383
1732540980,95.76,95.76,95.76,95.76,427
1732541040,95.76,95.76,95.76,95.76,523
1732541100,95.76,95.76,95.76,95.76,32
1732541160,95.76,95.76,95.76,95.76,67
1732541340,95.76,95.76,95.76,95.76,28
1732541400,95.76,95.76,95.76,95.76,59
1732541460,95.76,95.76,95.76,95.76,31
1732541520,95.76,95.76,95.76,95.76,33
1732541700,95.76,95.76,95.76,95.76,428
1732541760,95.76,95.76,95.76,95.76,29
1732541880,95.76,95.76,95.76,95.76,96
1732541940,95.755,95.755,95.755,95.755,14
1732542060,95.76,95.76,95.76,95.76,8
1732542300,95.76,95.76,95.76,95.76,1
1732542360,95.76,95.76,95.76,95.76,1
1732542420,95.76,95.76,95.76,95.76,5
1732542600,95.755,95.755,95.755,95.755,76
1732542660,95.755,95.755,95.755,95.755,21
1732542780,95.755,95.755,95.755,95.755,44
1732542840,95.76,95.76,95.76,95.76,10
1732542960,95.76,95.76,95.76,95.76,1
1732543020,95.755,95.755,95.755,95.755,149
1732543080,95.755,95.755,95.755,95.755,51
1732543140,95.755,95.755,95.755,95.755,16
1732543260,95.755,95.755,95.755,95.755,108
1732543320,95.755,95.755,95.755,95.755,10
1732543440,95.755,95.755,95.755,95.755,29
1732543500,95.755,95.755,95.755,95.755,1
1732543620,95.755,95.755,95.755,95.755,9
1732543740,95.755,95.755,95.755,95.755,392
1732543800,95.755,95.755,95.755,95.755,200
1732543860,95.755,95.755,95.755,95.755,29
1732543920,95.755,95.755,95.755,95.755,44
1732544040,95.755,95.755,95.755,95.755,2
1732544100,95.755,95.755,95.755,95.755,3
1732544160,95.75,95.75,95.75,95.75,2
1732544220,95.755,95.755,95.755,95.755,3
1732544280,95.755,95.755,95.755,95.755,7
1732544340,95.755,95.755,95.755,95.755,14
1732544640,95.755,95.755,95.755,95.755,119
1732544700,95.755,95.755,95.755,95.755,23
1732544760,95.755,95.76,95.755,95.76,4
1732545180,95.755,95.755,95.755,95.755,37
1732545240,95.755,95.755,95.755,95.755,8
1732545300,95.755,95.755,95.755,95.755,33
1732545360,95.755,95.755,95.755,95.755,15
1732545420,95.755,95.755,95.755,95.755,6
1732545540,95.755,95.755,95.755,95.755,5
1732545600,95.755,95.755,95.755,95.755,54
1732545840,95.755,95.755,95.755,95.755,91
1732545900,95.755,95.755,95.755,95.755,52
1732546020,95.755,95.755,95.755,95.755,5
1732546080,95.755,95.755,95.755,95.755,71
1732546140,95.755,95.755,95.755,95.755,20
1732546200,95.75,95.75,95.75,95.75,4
1732546260,95.755,95.755,95.755,95.755,25
1732546320,95.755,95.755,95.755,95.755,5
1732546380,95.755,95.755,95.755,95.755,5
1732546500,95.755,95.755,95.755,95.755,10
1732546620,95.755,95.755,95.755,95.755,6
1732546980,95.755,95.755,95.75,95.75,193
1732547100,95.755,95.755,95.755,95.755,2
1732547580,95.75,95.75,95.75,95.75,5
1732547700,95.755,95.755,95.755,95.755,15
1732547760,95.755,95.755,95.755,95.755,2
1732547820,95.755,95.755,95.755,95.755,21
1732547880,95.755,95.755,95.755,95.755,12
1732547940,95.755,95.755,95.755,95.755,95
1732548000,95.755,95.755,95.755,95.755,30
1732548240,95.755,95.755,95.755,95.755,88
1732548960,95.76,95.76,95.76,95.76,718
1732549260,95.755,95.755,95.755,95.755,14
1732549500,95.755,95.755,95.755,95.755,2
1732549560,95.755,95.755,95.755,95.755,221
1732549620,95.755,95.755,95.755,95.755,73
1732549680,95.755,95.755,95.755,95.755,13
1732549740,95.755,95.755,95.755,95.755,25
1732549920,95.75,95.75,95.75,95.75,454
1732550100,95.75,95.75,95.75,95.75,61
1732550340,95.75,95.75,95.75,95.75,1
1732550400,95.75,95.75,95.75,95.75,6
1732550460,95.75,95.75,95.75,95.75,32
1732550520,95.75,95.75,95.75,95.75,8
1732550640,95.75,95.755,95.75,95.75,171
1732550820,95.75,95.75,95.75,95.75,2
1732550880,95.75,95.75,95.75,95.75,20
1732550940,95.75,95.75,95.75,95.75,75
1732551240,95.75,95.75,95.75,95.75,34
1732551600,95.75,95.75,95.75,95.75,177
1732551720,95.75,95.75,95.75,95.75,8
1732551780,95.75,95.75,95.75,95.75,8
1732551960,95.75,95.75,95.75,95.75,44
1732552020,95.75,95.75,95.75,95.75,22
1732552200,95.75,95.75,95.75,95.75,17
1732552260,95.75,95.75,95.75,95.75,8
1732552380,95.75,95.75,95.75,95.75,62
1732552560,95.75,95.75,95.75,95.75,11
1732552680,95.75,95.75,95.75,95.75,13
1732552740,95.75,95.75,95.75,95.75,27
1732556460,95.745,95.745,95.745,95.745,2
1732556520,95.745,95.745,95.745,95.745,2
1732556580,95.745,95.745,95.745,95.745,44
1732556640,95.745,95.745,95.745,95.745,8
1732557000,95.745,95.745,95.745,95.745,110
1732557300,95.745,95.745,95.745,95.745,91
1732557420,95.745,95.745,95.745,95.745,18
1732557540,95.745,95.745,95.745,95.745,15
1732557720,95.745,95.75,95.745,95.745,193
1732557840,95.745,95.745,95.745,95.745,13
1732557900,95.75,95.75,95.75,95.75,72
1732558200,95.75,95.75,95.75,95.75,8
1732558260,95.75,95.75,95.75,95.75,64
1732558320,95.75,95.75,95.75,95.75,24
1732558380,95.75,95.75,95.75,95.75,23
1732559100,95.75,95.75,95.75,95.75,43
1732559160,95.75,95.75,95.745,95.745,56
1732559220,95.745,95.745,95.745,95.745,55
1732559520,95.75,95.75,95.75,95.75,2
1732559700,95.745,95.745,95.745,95.745,16
1732559760,95.745,95.745,95.745,95.745,101
1732559880,95.745,95.75,95.745,95.75,72
1732559940,95.745,95.745,95.745,95.745,26
1732560360,95.75,95.75,95.75,95.75,51
1732560420,95.75,95.75,95.75,95.75,210
1732560480,95.75,95.75,95.75,95.75,22
1732560600,95.75,95.75,95.75,95.75,33
1732560660,95.75,95.75,95.75,95.75,18
1732560720,95.75,95.75,95.75,95.75,54
1732560900,95.755,95.755,95.755,95.755,16
1732561080,95.755,95.755,95.755,95.755,57
1732561140,95.755,95.755,95.755,95.755,11
1732561260,95.755,95.755,95.755,95.755,38
1732561320,95.755,95.755,95.755,95.755,4
1732561380,95.755,95.755,95.755,95.755,16
1732561560,95.755,95.755,95.755,95.755,168
1732561680,95.755,95.755,95.755,95.755,45
1732562940,95.75,95.755,95.75,95.75,29
1732563060,95.75,95.75,95.75,95.75,10
1732563660,95.755,95.755,95.755,95.755,612
1732563840,95.755,95.755,95.755,95.755,25
1732564260,95.755,95.76,95.755,95.755,111
1732564320,95.755,95.755,95.755,95.755,35
1732564380,95.755,95.755,95.755,95.755,10
1732564440,95.755,95.755,95.755,95.755,62
1732564560,95.755,95.755,95.755,95.755,6
1732564740,95.755,95.755,95.755,95.755,54
1732565340,95.755,95.755,95.755,95.755,366
1732565400,95.755,95.755,95.755,95.755,3
1732565820,95.755,95.755,95.755,95.755,20
1732566240,95.755,95.755,95.755,95.755,1
1732567320,95.76,95.76,95.76,95.76,119
1732567680,95.76,95.76,95.76,95.76,46
1732567740,95.76,95.76,95.76,95.76,25
1732567860,95.755,95.755,95.755,95.755,178
1732568340,95.76,95.76,95.76,95.76,274
1732568820,95.76,95.76,95.76,95.76,51
1732569060,95.755,95.755,95.755,95.755,10
1732570020,95.76,95.76,95.76,95.76,39
1732570200,95.755,95.755,95.755,95.755,1
1732571520,95.755,95.755,95.755,95.755,819
1732571640,95.76,95.76,95.76,95.76,1
1732571940,95.755,95.755,95.755,95.755,2
1732575600,95.76,95.76,95.755,95.755,34
1732576140,95.76,95.76,95.76,95.76,7
1732576200,95.76,95.76,95.76,95.76,16
1732576440,95.76,95.76,95.76,95.76,29
1732577280,95.76,95.76,95.76,95.76,1
1732577400,95.76,95.76,95.76,95.76,10
1732577460,95.76,95.76,95.76,95.76,14
1732577580,95.76,95.76,95.76,95.76,20
1732578000,95.76,95.76,95.76,95.76,15
1732578060,95.76,95.76,95.76,95.76,5
1732578120,95.76,95.76,95.76,95.76,2
1732578180,95.76,95.76,95.76,95.76,2
1732578420,95.755,95.755,95.755,95.755,52
1732578480,95.755,95.755,95.755,95.755,6
1732578540,95.75,95.75,95.75,95.75,14
1732578660,95.75,95.75,95.75,95.75,23
1732578720,95.75,95.75,95.75,95.75,20
1732579740,95.75,95.75,95.75,95.75,45
1732579800,95.75,95.75,95.75,95.75,3
1732579860,95.75,95.75,95.75,95.75,8
1732580040,95.75,95.75,95.75,95.75,4
1732580100,95.75,95.75,95.75,95.75,19
1732580160,95.75,95.75,95.75,95.75,12
1732580220,95.75,95.75,95.75,95.75,13
1732580340,95.75,95.75,95.75,95.75,8
1732580460,95.755,95.755,95.75,95.75,28
1732581060,95.755,95.755,95.755,95.755,6
1732581120,95.755,95.755,95.755,95.755,9
1732582260,95.755,95.755,95.755,95.755,10
1732582920,95.755,95.755,95.755,95.755,28
1732582980,95.755,95.755,95.755,95.755,4
1732583400,95.755,95.755,95.755,95.755,13
1732584600,95.755,95.755,95.755,95.755,8
1732584960,95.755,95.755,95.755,95.755,9
