time,open,high,low,close,Volume
1712527200,94.9,94.9,94.9,94.9,40
1712527260,94.895,94.895,94.895,94.895,31
1712527320,94.895,94.895,94.895,94.895,59
1712527380,94.895,94.895,94.895,94.895,4
1712527500,94.895,94.895,94.895,94.895,370
1712527680,94.895,94.895,94.895,94.895,35
1712527860,94.895,94.895,94.895,94.895,13
1712528160,94.895,94.895,94.895,94.895,205
1712528220,94.895,94.895,94.895,94.895,88
1712528280,94.895,94.895,94.895,94.895,27
1712528700,94.895,94.895,94.895,94.895,9
1712530560,94.895,94.895,94.895,94.895,3
1712531340,94.9,94.9,94.9,94.9,34
1712532480,94.9,94.9,94.9,94.9,173
1712532540,94.9,94.9,94.9,94.9,4
1712532780,94.9,94.9,94.9,94.9,72
1712532960,94.9,94.9,94.9,94.9,250
1712533980,94.9,94.9,94.9,94.9,15
1712534820,94.9,94.9,94.9,94.9,4
1712535180,94.9,94.9,94.9,94.9,2
1712538600,94.895,94.895,94.895,94.895,6
1712539560,94.895,94.895,94.895,94.895,18
1712539800,94.895,94.895,94.895,94.895,10
1712540640,94.895,94.895,94.895,94.895,308
1712541360,94.895,94.895,94.895,94.895,1
1712541660,94.895,94.895,94.895,94.895,507
1712548680,94.895,94.895,94.895,94.895,3
1712550360,94.89,94.89,94.89,94.89,300
1712550600,94.89,94.89,94.89,94.89,250
1712550900,94.89,94.89,94.89,94.89,47
1712551380,94.89,94.89,94.89,94.89,99
1712552640,94.89,94.89,94.89,94.89,6
1712552700,94.89,94.89,94.89,94.89,6
1712552760,94.89,94.89,94.89,94.89,2
1712554740,94.89,94.89,94.89,94.89,3
1712554800,94.89,94.89,94.89,94.89,30
1712555640,94.89,94.89,94.89,94.89,4
1712555760,94.89,94.89,94.89,94.89,23
1712555820,94.89,94.89,94.89,94.89,1
1712556180,94.89,94.89,94.89,94.89,11
1712558880,94.895,94.895,94.895,94.895,47
1712559360,94.895,94.895,94.895,94.895,80
1712561220,94.9,94.9,94.9,94.9,240
1712564640,94.895,94.895,94.895,94.895,220
1712564760,94.895,94.895,94.895,94.895,35
1712565360,94.895,94.895,94.895,94.895,7
1712565420,94.895,94.895,94.895,94.895,249
1712567220,94.895,94.895,94.895,94.895,12
1712567280,94.895,94.895,94.895,94.895,60
1712567340,94.895,94.895,94.895,94.895,36
1712570640,94.895,94.895,94.895,94.895,181
1712571660,94.9,94.9,94.9,94.9,3
1712573280,94.895,94.895,94.895,94.895,5
1712575800,94.895,94.895,94.895,94.895,107
1712577540,94.895,94.895,94.895,94.895,500
1712577600,94.895,94.895,94.895,94.895,29
1712577660,94.895,94.895,94.895,94.895,1
1712577780,94.9,94.9,94.9,94.9,10
1712577960,94.895,94.895,94.895,94.895,9
1712578020,94.895,94.895,94.895,94.895,15
1712578800,94.9,94.9,94.9,94.9,2
1712578860,94.895,94.895,94.895,94.895,396
1712579100,94.895,94.895,94.895,94.895,30
1712579160,94.895,94.895,94.895,94.895,47
1712579280,94.895,94.895,94.895,94.895,19
1712579580,94.895,94.895,94.895,94.895,23
1712580060,94.895,94.895,94.895,94.895,2
1712580720,94.9,94.9,94.9,94.9,35
1712580900,94.9,94.9,94.9,94.9,20
1712581260,94.9,94.9,94.9,94.9,47
1712581320,94.9,94.9,94.9,94.9,370
1712581380,94.9,94.9,94.9,94.9,348
1712581500,94.905,94.905,94.905,94.905,1
1712581860,94.905,94.905,94.905,94.905,11
1712581920,94.9,94.9,94.9,94.9,2
1712582940,94.905,94.905,94.905,94.905,453
1712583000,94.905,94.905,94.905,94.905,46
1712583060,94.905,94.905,94.905,94.905,2
1712583180,94.905,94.905,94.905,94.905,44
1712583360,94.905,94.905,94.905,94.905,99
1712583420,94.905,94.905,94.905,94.905,3
1712583600,94.905,94.905,94.905,94.905,81
1712583660,94.905,94.905,94.905,94.905,35
1712583900,94.905,94.905,94.905,94.905,52
1712583960,94.905,94.905,94.905,94.905,116
1712584020,94.905,94.905,94.905,94.905,6
1712584200,94.905,94.905,94.905,94.905,2
1712584320,94.905,94.905,94.905,94.905,111
1712584500,94.905,94.905,94.905,94.905,2
1712584560,94.905,94.905,94.905,94.905,43
1712584620,94.905,94.905,94.905,94.905,35
1712584680,94.905,94.905,94.905,94.905,50
1712584920,94.9,94.9,94.9,94.9,153
1712584980,94.9,94.9,94.9,94.9,234
1712586060,94.895,94.895,94.895,94.895,31
1712586720,94.895,94.895,94.895,94.895,34
1712587440,94.9,94.9,94.9,94.9,1
1712588340,94.895,94.895,94.89,94.89,1538
1712589000,94.895,94.895,94.895,94.895,70
1712589540,94.89,94.89,94.89,94.89,487
1712589780,94.89,94.89,94.89,94.89,1449
