time,open,high,low,close,Volume
1753907220,95.99,95.99,95.99,95.99,33
1753907340,95.985,95.985,95.985,95.985,10
1753908960,95.985,95.985,95.985,95.985,48
1753909080,95.985,95.985,95.985,95.985,21
1753912800,95.98,95.98,95.975,95.975,8
1753912860,95.975,95.975,95.975,95.975,20
1753913100,95.975,95.975,95.975,95.975,29
1753913700,95.975,95.975,95.975,95.975,11
1753913760,95.975,95.975,95.975,95.975,9
1753914240,95.975,95.975,95.975,95.975,3
1753915080,95.975,95.975,95.975,95.975,25
1753917060,95.97,95.97,95.965,95.97,59
1753917180,95.97,95.97,95.97,95.97,3
1753922460,95.975,95.975,95.975,95.975,1
1753923660,95.975,95.975,95.975,95.975,4
1753923780,95.975,95.975,95.975,95.975,4
1753924320,95.975,95.975,95.975,95.975,12
1753926060,95.98,95.98,95.98,95.98,33
1753926120,95.98,95.98,95.98,95.98,7
1753926180,95.98,95.98,95.98,95.98,9
1753926660,95.98,95.98,95.98,95.98,38
1753926900,95.98,95.98,95.98,95.98,8
1753926960,95.98,95.98,95.98,95.98,7
1753928640,95.98,95.98,95.975,95.98,97
1753928760,95.98,95.98,95.975,95.975,70
1753928940,95.98,95.98,95.98,95.98,7
1753933380,95.985,95.985,95.985,95.985,3
1753938300,95.98,95.98,95.98,95.98,25
1753939680,95.98,95.98,95.98,95.98,7
1753941720,95.985,95.985,95.985,95.985,1385
1753942020,95.985,95.985,95.985,95.985,5
1753942140,95.985,95.985,95.985,95.985,14
1753942200,95.985,95.985,95.985,95.985,9
1753943280,95.985,95.985,95.985,95.985,12
1753943460,95.985,95.985,95.985,95.985,10
1753943700,95.985,95.985,95.985,95.985,13
1753944120,95.985,95.985,95.985,95.985,2
1753944180,95.985,95.985,95.985,95.985,12
1753944300,95.985,95.985,95.985,95.985,17
1753944360,95.985,95.985,95.985,95.985,1
1753944900,95.99,95.99,95.99,95.99,1
1753945500,95.99,95.99,95.99,95.99,31
1753946280,95.99,95.99,95.99,95.99,500
1753946400,95.985,95.985,95.985,95.985,865
1753946940,95.985,95.985,95.985,95.985,117
1753947540,95.985,95.985,95.985,95.985,13
1753947900,95.985,95.985,95.985,95.985,27
1753947960,95.985,95.985,95.985,95.985,13
1753948020,95.985,95.985,95.985,95.985,19
1753948140,95.985,95.985,95.985,95.985,89
1753948380,95.985,95.985,95.985,95.985,24
1753948620,95.985,95.985,95.985,95.985,151
1753949040,95.985,95.985,95.985,95.985,23
1753951200,95.98,95.98,95.98,95.98,215
1753952580,95.975,95.975,95.975,95.975,1
1753952700,95.975,95.975,95.975,95.975,50
1753954320,95.98,95.98,95.98,95.98,795
1753954380,95.98,95.98,95.98,95.98,6
1753954800,95.98,95.98,95.98,95.98,41
1753954920,95.98,95.98,95.98,95.98,10
1753955160,95.98,95.98,95.98,95.98,25
1753955460,95.98,95.98,95.98,95.98,18
1753955820,95.975,95.975,95.975,95.975,1598
1753956120,95.97,95.97,95.97,95.97,5
1753956840,95.97,95.97,95.97,95.97,248
1753957500,95.97,95.97,95.97,95.97,80
1753958640,95.97,95.97,95.97,95.97,540
1753958700,95.965,95.965,95.965,95.965,142
1753959120,95.965,95.965,95.965,95.965,50
1753959180,95.96,95.96,95.96,95.96,259
1753959300,95.96,95.96,95.96,95.96,160
1753959420,95.955,95.955,95.955,95.955,7
1753959960,95.955,95.955,95.955,95.955,3
1753960140,95.955,95.955,95.955,95.955,5
1753960260,95.96,95.96,95.96,95.96,162
1753960440,95.965,95.965,95.965,95.965,6
1753960680,95.965,95.965,95.965,95.965,34
1753960740,95.965,95.965,95.965,95.965,64
1753961100,95.965,95.965,95.965,95.965,212
1753961400,95.97,95.97,95.97,95.97,127
1753961460,95.97,95.97,95.97,95.97,1
1753962300,95.97,95.97,95.97,95.97,2
1753962360,95.975,95.975,95.975,95.975,1
1753962900,95.97,95.97,95.97,95.97,32
1753962960,95.97,95.97,95.97,95.97,51
1753963020,95.97,95.97,95.97,95.97,1
1753963140,95.97,95.97,95.97,95.97,12
1753963260,95.97,95.97,95.97,95.97,94
1753963320,95.97,95.97,95.97,95.97,18
1753963380,95.97,95.97,95.97,95.97,48
1753963500,95.97,95.97,95.97,95.97,61
1753963560,95.97,95.97,95.97,95.97,3
1753963920,95.97,95.97,95.97,95.97,11
1753964280,95.97,95.97,95.97,95.97,1
1753964340,95.97,95.97,95.97,95.97,4
1753964580,95.97,95.97,95.97,95.97,26
1753964760,95.97,95.97,95.97,95.97,10
1753964820,95.97,95.97,95.97,95.97,4
1753964880,95.97,95.97,95.97,95.97,26
1753964940,95.97,95.97,95.965,95.97,54
1753965000,95.975,95.975,95.965,95.965,69
1753965060,95.97,95.97,95.97,95.97,1
1753965120,95.97,95.97,95.97,95.97,68
1753965300,95.97,95.97,95.97,95.97,24
1753965360,95.97,95.97,95.97,95.97,42
1753965420,95.965,95.97,95.965,95.97,4
1753965720,95.97,95.97,95.97,95.97,2
1753965840,95.97,95.97,95.97,95.97,21
1753966920,95.965,95.965,95.965,95.965,12
1753966980,95.965,95.965,95.965,95.965,71
1753967220,95.965,95.965,95.965,95.965,8
1753967520,95.96,95.96,95.96,95.96,53
1753967940,95.96,95.96,95.96,95.96,80
1753968420,95.96,95.96,95.96,95.96,3
1753968480,95.96,95.96,95.96,95.96,114
1753968960,95.965,95.965,95.965,95.965,132
1753969020,95.965,95.965,95.965,95.965,7
1753969380,95.965,95.965,95.965,95.965,3
1753969440,95.965,95.965,95.96,95.96,9
1753969680,95.96,95.96,95.96,95.96,2
1753970400,95.965,95.965,95.965,95.965,17
1753970520,95.965,95.965,95.965,95.965,9
1753970640,95.965,95.965,95.965,95.965,30
1753970700,95.965,95.965,95.965,95.965,9
1753970880,95.965,95.965,95.965,95.965,1
1753970940,95.965,95.965,95.965,95.965,1
1753971000,95.965,95.965,95.965,95.965,18
1753971120,95.965,95.965,95.965,95.965,16
1753971180,95.965,95.965,95.965,95.965,18
1753971240,95.965,95.965,95.965,95.965,1
1753971420,95.965,95.965,95.965,95.965,606
1753971840,95.965,95.965,95.965,95.965,23
1753972140,95.965,95.965,95.965,95.965,1
1753972320,95.965,95.965,95.965,95.965,1
1753972440,95.965,95.965,95.965,95.965,234
1753972560,95.965,95.965,95.965,95.965,31
1753972620,95.965,95.965,95.965,95.965,41
1753973340,95.97,95.97,95.97,95.97,254
1753973820,95.975,95.975,95.975,95.975,150
1753974720,95.975,95.975,95.975,95.975,435
1753975500,95.975,95.975,95.975,95.975,315
1753976520,95.97,95.97,95.97,95.97,41
1753976700,95.97,95.97,95.97,95.97,1
1753977000,95.97,95.97,95.97,95.97,105
1753977060,95.97,95.97,95.97,95.97,48
1753977180,95.97,95.97,95.97,95.97,30
1753977240,95.975,95.975,95.975,95.975,6
1753977300,95.975,95.975,95.975,95.975,12
1753977780,95.97,95.97,95.97,95.97,43
1753978260,95.97,95.97,95.965,95.965,365
1753978320,95.965,95.965,95.965,95.965,2
1753978800,95.965,95.965,95.965,95.965,5
1753978860,95.965,95.965,95.965,95.965,10
1753979160,95.965,95.965,95.965,95.965,40
1753979520,95.965,95.965,95.965,95.965,6
1753979700,95.97,95.97,95.97,95.97,262
1753979760,95.97,95.97,95.97,95.97,11
1753980180,95.97,95.97,95.97,95.97,15
1753981560,95.97,95.97,95.97,95.97,128
1753982460,95.97,95.97,95.96,95.96,641
1753982520,95.955,95.955,95.955,95.955,101
1753982580,95.955,95.955,95.955,95.955,4
1753982640,95.96,95.96,95.96,95.96,270
1753982700,95.96,95.96,95.96,95.96,470
1753982760,95.96,95.96,95.96,95.96,2
1753982820,95.96,95.965,95.96,95.965,780
1753984020,95.96,95.96,95.96,95.96,33
1753984080,95.96,95.96,95.96,95.96,11
1753984260,95.955,95.955,95.955,95.955,59
1753984800,95.955,95.955,95.955,95.955,2
1753985220,95.96,95.96,95.96,95.96,14
1753986180,95.96,95.96,95.96,95.96,45
1753986720,95.96,95.96,95.96,95.96,6
1753987140,95.96,95.96,95.96,95.96,117
1753987500,95.96,95.96,95.96,95.96,13
1753987860,95.965,95.965,95.965,95.965,2
1753988160,95.96,95.96,95.96,95.96,264
1753988700,95.955,95.955,95.955,95.955,354
1753989900,95.955,95.955,95.955,95.955,10
1753990020,95.96,95.96,95.96,95.96,43
1753990140,95.96,95.96,95.96,95.96,2
1753990200,95.96,95.96,95.96,95.96,2
1753990740,95.965,95.965,95.965,95.965,18
1753992000,95.965,95.965,95.965,95.965,2
1753992360,95.965,95.965,95.965,95.965,200
1753993080,95.96,95.96,95.96,95.96,1
1753994220,95.96,95.96,95.96,95.96,40
1753994700,95.955,95.955,95.955,95.955,4
1753995060,95.955,95.955,95.955,95.955,4
1753995540,95.955,95.955,95.955,95.955,3
1753999380,95.95,95.95,95.95,95.95,15
1753999500,95.95,95.95,95.95,95.95,27
1753999740,95.95,95.955,95.95,95.955,51
1753999980,95.96,95.96,95.96,95.96,1
1754013660,95.955,95.955,95.955,95.955,65
1754016660,95.96,95.96,95.96,95.96,10
1754024100,95.96,95.96,95.96,95.96,48
1754024280,95.96,95.96,95.96,95.96,7
1754024460,95.96,95.96,95.96,95.96,6
1754026740,95.96,95.96,95.96,95.96,17
1754028000,95.96,95.96,95.96,95.96,2
1754028120,95.96,95.96,95.96,95.96,13
1754031300,95.96,95.96,95.96,95.96,15
1754032140,95.96,95.96,95.96,95.96,2
1754034000,95.96,95.96,95.96,95.96,27
1754034060,95.96,95.96,95.96,95.96,12
1754034720,95.96,95.96,95.96,95.96,83
1754035680,95.96,95.96,95.96,95.96,50
1754035920,95.96,95.96,95.96,95.96,3
1754036160,95.96,95.96,95.96,95.96,6
1754036640,95.96,95.96,95.96,95.96,1
1754036700,95.96,95.96,95.96,95.96,6
1754036880,95.96,95.96,95.96,95.96,25
1754037180,95.96,95.96,95.96,95.96,13
1754040240,95.965,95.965,95.965,95.965,6
1754042400,95.96,95.96,95.96,95.96,100
1754042820,95.96,95.96,95.96,95.96,3
1754043060,95.955,95.955,95.955,95.955,5
1754043120,95.96,95.96,95.96,95.96,57
1754044140,95.96,95.96,95.96,95.96,25
1754044440,95.96,95.96,95.96,95.96,9
1754045220,95.96,95.96,95.96,95.96,56
1754045640,95.96,95.96,95.96,95.96,16
1754046540,95.965,95.965,95.965,95.965,1
1754046960,95.965,95.965,95.965,95.965,1
1754047560,95.965,95.97,95.965,95.97,35
1754047680,95.97,95.97,95.97,95.97,44
1754048760,95.97,95.97,95.97,95.97,2
1754049000,95.97,95.97,95.97,95.97,14
1754049060,95.97,95.97,95.97,95.97,124
1754049180,95.97,95.97,95.97,95.97,20
1754049240,95.97,95.97,95.97,95.97,17
1754049600,95.97,95.97,95.97,95.97,14
1754049660,95.97,95.97,95.97,95.97,75
1754050020,95.97,95.97,95.97,95.97,26
1754050260,95.97,95.97,95.97,95.97,11
1754050320,95.97,95.975,95.97,95.975,42
1754050380,95.98,95.98,95.98,95.98,50
1754050440,95.98,95.98,95.98,95.98,100
1754050560,95.975,95.975,95.975,95.975,60
1754050620,95.98,95.98,95.98,95.98,11
1754050680,95.98,95.98,95.98,95.98,26
1754050800,95.975,95.975,95.975,95.975,65
1754051040,95.975,95.975,95.975,95.975,8
1754051100,95.975,95.975,95.975,95.975,85
1754051280,95.975,95.975,95.975,95.975,3
1754051340,95.975,95.975,95.975,95.975,10
1754051400,96.02,96.065,95.995,96.055,774
1754051460,96.06,96.085,96.055,96.08,888
1754051520,96.075,96.08,96.075,96.08,333
1754051580,96.085,96.09,96.085,96.085,220
1754051640,96.09,96.095,96.09,96.09,128
1754051700,96.09,96.095,96.09,96.095,146
1754051760,96.095,96.095,96.095,96.095,145
1754051820,96.1,96.105,96.1,96.105,400
1754051880,96.105,96.105,96.105,96.105,59
1754051940,96.1,96.1,96.095,96.095,90
1754052000,96.095,96.095,96.095,96.095,55
1754052060,96.1,96.1,96.1,96.1,164
1754052120,96.1,96.105,96.1,96.105,199
1754052180,96.105,96.11,96.1,96.11,367
1754052240,96.11,96.12,96.11,96.12,176
1754052300,96.125,96.13,96.125,96.13,439
1754052360,96.13,96.13,96.13,96.13,31
1754052420,96.13,96.135,96.13,96.13,76
1754052480,96.13,96.13,96.13,96.13,24
1754052540,96.135,96.135,96.135,96.135,68
1754052600,96.14,96.14,96.14,96.14,2
