time,open,high,low,close,Volume
1764639900,96.61,96.61,96.605,96.61,739
1764643320,96.605,96.605,96.605,96.605,5
1764643380,96.605,96.605,96.605,96.605,10
1764644640,96.605,96.615,96.605,96.615,1059
1764651240,96.61,96.61,96.61,96.61,16
1764651540,96.61,96.61,96.61,96.61,22
1764651720,96.61,96.61,96.61,96.61,4
1764662160,96.61,96.61,96.61,96.61,2
1764663420,96.605,96.605,96.605,96.605,10
1764663780,96.605,96.605,96.605,96.605,22
1764663840,96.605,96.605,96.605,96.605,3
1764663900,96.605,96.605,96.605,96.605,8
1764664920,96.605,96.605,96.605,96.605,3
1764665100,96.605,96.605,96.605,96.605,1
1764665580,96.605,96.605,96.605,96.605,4
1764666180,96.605,96.605,96.605,96.605,20
1764666480,96.605,96.605,96.605,96.605,40
1764667380,96.605,96.605,96.605,96.605,8
1764668340,96.605,96.605,96.605,96.605,4
1764669000,96.605,96.605,96.605,96.605,4
1764669240,96.6,96.6,96.6,96.6,100
1764669300,96.605,96.605,96.605,96.605,18
1764669420,96.605,96.605,96.605,96.605,10
1764671040,96.605,96.605,96.605,96.605,10
1764671100,96.605,96.605,96.605,96.605,10
1764671220,96.605,96.605,96.605,96.605,2
1764674160,96.605,96.605,96.605,96.605,150
1764674220,96.605,96.605,96.605,96.605,17
1764674940,96.605,96.605,96.605,96.605,2
1764675000,96.605,96.605,96.605,96.605,5
1764675720,96.605,96.605,96.605,96.605,6
1764675900,96.605,96.605,96.605,96.605,1
1764676800,96.605,96.605,96.605,96.605,1
1764676860,96.605,96.605,96.605,96.605,4
1764678600,96.6,96.6,96.6,96.6,4
1764678660,96.6,96.6,96.6,96.6,9
1764678720,96.6,96.6,96.6,96.6,17
1764678780,96.6,96.6,96.6,96.6,1
1764678900,96.6,96.6,96.6,96.6,5
1764679800,96.6,96.6,96.6,96.6,39
1764679860,96.6,96.6,96.6,96.6,15
1764679920,96.6,96.6,96.6,96.6,48
1764680640,96.6,96.6,96.6,96.6,1
1764681120,96.605,96.605,96.605,96.605,16
1764682080,96.605,96.605,96.605,96.605,35
1764682140,96.605,96.605,96.605,96.605,201
1764683100,96.605,96.605,96.605,96.605,1
1764683220,96.605,96.605,96.605,96.605,4
1764683400,96.605,96.605,96.605,96.605,9
1764683520,96.605,96.605,96.605,96.605,2
1764684000,96.61,96.61,96.61,96.61,53
1764684060,96.61,96.61,96.61,96.61,12
1764684120,96.61,96.61,96.61,96.61,6
1764684240,96.61,96.61,96.61,96.61,5
1764684300,96.61,96.61,96.61,96.61,5
1764684420,96.61,96.61,96.61,96.61,6
1764684840,96.61,96.61,96.61,96.61,22
1764684900,96.61,96.61,96.61,96.61,3
1764685140,96.61,96.61,96.61,96.61,2
1764685200,96.61,96.61,96.61,96.61,14
1764685260,96.61,96.615,96.61,96.61,86
1764685320,96.61,96.61,96.61,96.61,19
1764685380,96.61,96.61,96.61,96.61,12
1764685440,96.61,96.61,96.61,96.61,5
1764685680,96.615,96.615,96.615,96.615,10
1764685740,96.615,96.615,96.615,96.615,27
1764685800,96.615,96.615,96.615,96.615,2
1764686340,96.615,96.615,96.615,96.615,69
1764686400,96.615,96.615,96.615,96.615,19
1764686520,96.62,96.62,96.62,96.62,77
1764686580,96.62,96.62,96.62,96.62,10
1764686700,96.615,96.615,96.615,96.615,2
1764687180,96.615,96.615,96.615,96.615,351
1764687480,96.615,96.615,96.615,96.615,70
1764687600,96.615,96.615,96.615,96.615,20
1764687660,96.615,96.615,96.615,96.615,8
1764687720,96.615,96.615,96.615,96.615,1
1764687840,96.615,96.615,96.61,96.61,52
1764687900,96.615,96.615,96.615,96.615,31
1764687960,96.615,96.615,96.615,96.615,17
1764688020,96.615,96.615,96.615,96.615,11
1764688140,96.615,96.615,96.615,96.615,14
1764688560,96.61,96.61,96.61,96.61,30
1764688620,96.615,96.615,96.615,96.615,8
1764688680,96.615,96.615,96.615,96.615,1
1764688920,96.615,96.615,96.615,96.615,16
1764689160,96.615,96.615,96.615,96.615,28
1764689220,96.615,96.615,96.615,96.615,9
1764689280,96.615,96.615,96.615,96.615,9
1764690120,96.62,96.62,96.62,96.62,151
1764690240,96.62,96.62,96.62,96.62,34
1764690360,96.62,96.62,96.62,96.62,11
1764691560,96.615,96.615,96.615,96.615,205
1764691800,96.615,96.615,96.615,96.615,15
1764693000,96.62,96.62,96.62,96.62,15
1764693120,96.62,96.62,96.62,96.62,12
1764693240,96.62,96.62,96.62,96.62,2
1764693300,96.62,96.62,96.62,96.62,10
1764694620,96.615,96.615,96.615,96.615,27
1764694920,96.61,96.61,96.61,96.61,99
1764694980,96.61,96.61,96.61,96.61,17
1764695160,96.615,96.615,96.615,96.615,13
1764695940,96.61,96.61,96.61,96.61,27
1764696060,96.61,96.61,96.61,96.61,12
1764696180,96.61,96.61,96.61,96.61,5
1764696840,96.61,96.61,96.61,96.61,23
1764697260,96.61,96.61,96.61,96.61,12
1764697380,96.61,96.61,96.61,96.61,4
1764697440,96.615,96.62,96.615,96.615,2210
1764697680,96.615,96.615,96.615,96.615,4
1764697740,96.615,96.615,96.615,96.615,2
1764697860,96.615,96.615,96.615,96.615,14
1764697920,96.615,96.615,96.615,96.615,20
1764697980,96.62,96.62,96.62,96.62,1
1764698040,96.615,96.615,96.615,96.615,275
1764698100,96.615,96.615,96.615,96.615,34
1764698220,96.62,96.62,96.62,96.62,1
1764698580,96.62,96.62,96.62,96.62,60
1764698940,96.62,96.62,96.62,96.62,180
1764699360,96.62,96.62,96.62,96.62,40
1764699720,96.62,96.62,96.62,96.62,7
1764699780,96.62,96.62,96.62,96.62,6
1764700020,96.62,96.62,96.62,96.62,11
1764700080,96.62,96.62,96.62,96.62,26
1764700200,96.62,96.62,96.62,96.62,4
1764700860,96.62,96.62,96.62,96.62,38
1764700980,96.62,96.62,96.62,96.62,8
1764701100,96.62,96.62,96.62,96.62,5
1764702060,96.625,96.625,96.625,96.625,7
1764702360,96.625,96.625,96.625,96.625,499
1764702540,96.625,96.625,96.625,96.625,24
1764702600,96.625,96.625,96.625,96.625,6
1764702660,96.625,96.625,96.625,96.625,1
1764703020,96.625,96.625,96.625,96.625,17
1764703080,96.625,96.625,96.625,96.625,10
1764703200,96.625,96.625,96.625,96.625,4
1764703620,96.625,96.625,96.625,96.625,8
1764703680,96.625,96.625,96.625,96.625,67
