created_time,count,count_fp,no_price,no_price_dollars,price,taker_side,ticker,trade_id,yes_price,yes_price_dollars
2024-05-01 14:00:53.114329+00:00,5,5.00,5,0.0500,0.95,no,FEDDECISION-24JUN-H0,3fbdbf39-6e67-4dbb-8ad9-b861dba6a7c5,0.95,0.9500
2024-05-01 17:42:08.056462+00:00,5,5.00,3,0.0300,0.97,no,FEDDECISION-24JUN-H0,0954668e-5d57-4887-9384-40f7894272d4,0.97,0.9700
2024-05-01 17:42:55.128413+00:00,10000,10000.00,4,0.0400,0.96,no,FEDDECISION-24JUN-H0,6280ee5a-d1bb-4b8d-af2b-90bdd8ff6b3b,0.96,0.9600
2024-05-01 19:28:13.398660+00:00,10000,10000.00,4,0.0400,0.96,no,FEDDECISION-24JUN-H0,a65dd69b-5138-4bab-a06b-640a09a850de,0.96,0.9600
2024-05-02 15:29:24.627157+00:00,5000,5000.00,5,0.0500,0.95,no,FEDDECISION-24JUN-H0,d06c27d9-d77d-47cc-8178-5e2bb2fa5527,0.95,0.9500
2024-05-02 19:00:03.721397+00:00,102,102.00,6,0.0600,0.94,no,FEDDECISION-24JUN-H0,7909b2c4-2982-4b37-ba4d-64c68f515eba,0.94,0.9400
2024-05-02 19:21:46.984280+00:00,102,102.00,6,0.0600,0.94,no,FEDDECISION-24JUN-H0,5293e13b-b4e5-49fa-b1f1-32e87a6dbfb6,0.94,0.9400
2024-05-02 22:11:13.140780+00:00,46,46.00,6,0.0600,0.94,no,FEDDECISION-24JUN-H0,f673fd21-6614-434c-ba51-b4cc104ae4b8,0.94,0.9400
2024-05-03 12:17:15.404878+00:00,5,5.00,5,0.0500,0.95,yes,FEDDECISION-24JUN-H0,c4b9d31e-65ff-4c0b-b10e-98b3305df354,0.95,0.9500
2024-05-03 13:03:40.740947+00:00,500,500.00,8,0.0800,0.92,yes,FEDDECISION-24JUN-H0,d31d84a5-9b08-4edf-9c21-5e94ef063cf1,0.92,0.9200
2024-05-03 13:04:10.132186+00:00,125,125.00,8,0.0800,0.92,yes,FEDDECISION-24JUN-H0,fccb458a-40c7-4a43-9ef3-1e4c72dd6ab6,0.92,0.9200
2024-05-03 13:05:55.562270+00:00,375,375.00,8,0.0800,0.92,yes,FEDDECISION-24JUN-H0,39596e47-780e-455e-bf04-7b4433575757,0.92,0.9200
2024-05-03 13:05:55.765623+00:00,500,500.00,8,0.0800,0.92,no,FEDDECISION-24JUN-H0,b8da2b37-c371-40f2-b6c7-a7245fcfa35c,0.92,0.9200
2024-05-03 13:05:55.840286+00:00,500,500.00,8,0.0800,0.92,no,FEDDECISION-24JUN-H0,11d96760-a181-471f-987a-0ea3113e9642,0.92,0.9200
2024-05-03 13:05:55.902001+00:00,500,500.00,8,0.0800,0.92,no,FEDDECISION-24JUN-H0,9eb554e3-ae3f-4f8e-9086-1d8b4688cd03,0.92,0.9200
2024-05-03 13:05:55.945200+00:00,500,500.00,8,0.0800,0.92,no,FEDDECISION-24JUN-H0,5513eeee-0925-4b44-b432-77026d305dda,0.92,0.9200
