created_time,count,yes_price,no_price,taker_side,ticker,trade_id
2025-10-15 17:38:11.377765+00:00,197,0.51,0.49,no,KXFEDDECISION-26MAR-H0,ec08fe5f-6e4c-47c2-c064-157c18cc6f4e
2025-11-29 08:33:52.987922+00:00,35,0.68,0.32,yes,KXFEDDECISION-26MAR-H0,c6e7558b-ecb2-68ec-b8aa-0689b413d825
2025-11-29 08:33:52.987922+00:00,1,0.7,0.3,yes,KXFEDDECISION-26MAR-H0,2464052a-e1cf-60a1-8554-b677b70e7c17
2025-11-29 08:33:52.987922+00:00,197,0.57,0.43,yes,KXFEDDECISION-26MAR-H0,2dc0be66-664a-6ded-9c19-0cdac7f5f998
2025-11-29 08:33:52.987922+00:00,93,0.7,0.3,yes,KXFEDDECISION-26MAR-H0,51d98d28-34b9-6300-9778-ce97b2e4b764
2025-11-29 08:33:52.987922+00:00,200,0.58,0.42,yes,KXFEDDECISION-26MAR-H0,6c89ffa2-050a-679c-9ea1-b6642b315a63
2025-11-29 08:33:52.987922+00:00,200,0.57,0.43,yes,KXFEDDECISION-26MAR-H0,800d3738-02c9-65b0-9bb2-7d2a30fc866c
2025-11-29 08:33:52.987922+00:00,88,0.69,0.31,yes,KXFEDDECISION-26MAR-H0,9f35fd22-3d21-63ca-bd15-0df7717ad00c
2025-11-29 08:33:52.987922+00:00,98,0.71,0.29,yes,KXFEDDECISION-26MAR-H0,a483e9ae-b1cf-6996-95b7-a225c08f3d44
2025-11-29 08:33:52.987922+00:00,32,0.67,0.33,yes,KXFEDDECISION-26MAR-H0,df3fbe38-ba20-668c-83d4-ad8d5baae5e4
2025-11-29 08:33:52.987922+00:00,88,0.72,0.28,yes,KXFEDDECISION-26MAR-H0,fd823e3a-3434-6cd4-a1c2-43aae112a367
2025-12-01 23:11:57.538641+00:00,100,0.52,0.48,no,KXFEDDECISION-26MAR-H0,6dc08f70-d91c-57f5-6d7b-93f80e5cbe46
2025-12-01 23:11:57.538641+00:00,31,0.53,0.47,no,KXFEDDECISION-26MAR-H0,76647f04-8737-5790-44a5-6af72288af0c
2025-12-01 23:11:57.538641+00:00,2,0.54,0.46,no,KXFEDDECISION-26MAR-H0,8937c724-fa3b-5ed3-622f-2c19db200a76
2025-12-01 23:11:57.538641+00:00,3,0.54,0.46,no,KXFEDDECISION-26MAR-H0,eafbde16-c9a2-5bd9-4901-ad2db2144625
2025-12-01 23:27:03.696404+00:00,3,0.52,0.48,no,KXFEDDECISION-26MAR-H0,2b8ad74d-f4ed-4756-52c9-9ebe7aa4c351
2025-12-01 23:27:03.696404+00:00,20,0.51,0.49,no,KXFEDDECISION-26MAR-H0,d397d534-3285-4e85-7df0-fa87a93b1ef4
2025-12-01 23:27:03.696404+00:00,2,0.52,0.48,no,KXFEDDECISION-26MAR-H0,72d2336e-cff3-4b34-5517-c30ea4ae37d4
2025-12-01 23:27:18.346802+00:00,10,0.51,0.49,no,KXFEDDECISION-26MAR-H0,f5974325-fe19-58a9-0a61-aee3453e3544
2025-12-01 23:27:18.346802+00:00,40,0.5,0.5,no,KXFEDDECISION-26MAR-H0,eafe04be-4cdf-5efc-3064-9636c6f8bfaf
