created_time,count,count_fp,no_price,no_price_dollars,price,taker_side,ticker,trade_id,yes_price,yes_price_dollars
2024-03-20 20:17:40.399199+00:00,1234,1234.00,30,0.3000,0.7,no,FEDDECISION-24MAY-H0,12ccd2e7-88bb-4e7b-b532-e650446b283a,0.7,0.7000
2024-03-20 21:56:00.305121+00:00,109,109.00,9,0.0900,0.91,yes,FEDDECISION-24MAY-H0,a27c2ae4-0bbe-43a2-9a45-0af41000c4a6,0.91,0.9100
2024-03-21 16:12:26.723768+00:00,1,1.00,11,0.1100,0.89,yes,FEDDECISION-24MAY-H0,a3197b4f-1a36-4cf0-a7d1-4889c9782b7d,0.89,0.8900
2024-03-22 12:42:46.116345+00:00,1343,1343.00,14,0.1400,0.86,no,FEDDECISION-24MAY-H0,efe459c0-1c5a-4365-949c-b964c485d87d,0.86,0.8600
2024-03-22 12:45:22.248236+00:00,1000,1000.00,15,0.1500,0.85,no,FEDDECISION-24MAY-H0,be45033c-832f-410b-8e30-abd52cc8193d,0.85,0.8500
2024-03-22 12:45:22.248236+00:00,10,10.00,15,0.1500,0.85,no,FEDDECISION-24MAY-H0,11350fe5-f8ac-436b-9586-c637ae733e82,0.85,0.8500
2024-03-22 16:10:47.032322+00:00,719,719.00,13,0.1300,0.87,yes,FEDDECISION-24MAY-H0,ad3cc6db-6d13-4b07-8999-940087ea2891,0.87,0.8700
2024-03-22 16:10:47.032322+00:00,1000,1000.00,14,0.1400,0.86,yes,FEDDECISION-24MAY-H0,cf7e6517-e218-428f-b823-3354d1906130,0.86,0.8600
2024-03-22 17:55:12.901673+00:00,2000,2000.00,14,0.1400,0.86,no,FEDDECISION-24MAY-H0,a3b4e0a6-6d5e-487b-b941-5ed932d431da,0.86,0.8600
2024-03-22 18:59:41.441903+00:00,1000,1000.00,15,0.1500,0.85,no,FEDDECISION-24MAY-H0,03f53aa3-f046-4049-b954-c2713419c354,0.85,0.8500
2024-03-22 18:59:41.441903+00:00,10,10.00,15,0.1500,0.85,no,FEDDECISION-24MAY-H0,f561793e-3761-4e88-b600-a7b31862cf92,0.85,0.8500
2024-03-22 19:01:32.349301+00:00,1000,1000.00,15,0.1500,0.85,no,FEDDECISION-24MAY-H0,2fd1704f-408d-4f73-900c-c3bd123a51e2,0.85,0.8500
2024-03-22 19:01:32.349301+00:00,1000,1000.00,16,0.1600,0.84,no,FEDDECISION-24MAY-H0,b5228b6f-ee91-4d67-900c-459390bf4986,0.84,0.8400
2024-03-23 15:10:42.730501+00:00,1368,1368.00,14,0.1400,0.86,yes,FEDDECISION-24MAY-H0,90378869-e737-450d-b453-6d49f2f94bd7,0.86,0.8600
2024-03-23 15:10:42.730501+00:00,3000,3000.00,15,0.1500,0.85,yes,FEDDECISION-24MAY-H0,c1232c0f-a641-445e-84bc-a249d38ad21f,0.85,0.8500
2024-03-23 15:10:42.730501+00:00,4,4.00,16,0.1600,0.84,yes,FEDDECISION-24MAY-H0,fc6d5602-31d8-4319-9296-ccb6b968c7e8,0.84,0.8400
2024-03-23 16:56:00.814925+00:00,1,1.00,15,0.1500,0.85,yes,FEDDECISION-24MAY-H0,2d2e8920-2a76-4589-98da-1e1758b67c41,0.85,0.8500
2024-03-24 13:54:03.355093+00:00,1,1.00,14,0.1400,0.86,yes,FEDDECISION-24MAY-H0,48c368c7-8815-42d5-b334-76fec09494ab,0.86,0.8600
2024-03-24 19:32:56.800113+00:00,39,39.00,10,0.1000,0.9,yes,FEDDECISION-24MAY-H0,7ec99dd5-88e9-46a8-b5f0-834242f8b14e,0.9,0.9000
2024-03-24 19:32:56.800113+00:00,2,2.00,4,0.0400,0.96,yes,FEDDECISION-24MAY-H0,a3d50ade-6cfd-4395-aaef-09512f40a552,0.96,0.9600
2024-03-24 19:32:56.800113+00:00,8,8.00,4,0.0400,0.96,yes,FEDDECISION-24MAY-H0,95573185-ed8d-4dae-9c88-e49013931268,0.96,0.9600
2024-03-24 19:32:56.800113+00:00,39,39.00,9,0.0900,0.91,yes,FEDDECISION-24MAY-H0,98ee8535-9c09-4617-bf5d-30f34538e8f4,0.91,0.9100
2024-03-24 19:32:56.800113+00:00,1,1.00,10,0.1000,0.9,yes,FEDDECISION-24MAY-H0,9a8aba7c-6b00-417c-a147-05aafba844d8,0.9,0.9000
2024-03-24 19:32:56.800113+00:00,7,7.00,3,0.0300,0.97,yes,FEDDECISION-24MAY-H0,9ba422af-0aed-4c4c-a2ff-39f301c5e108,0.97,0.9700
2024-03-24 19:32:56.800113+00:00,30,30.00,5,0.0500,0.95,yes,FEDDECISION-24MAY-H0,9fd6bd27-60d6-4b57-81b0-a3a623b3003e,0.95,0.9500
2024-03-24 19:32:56.800113+00:00,2939,2939.00,14,0.1400,0.86,yes,FEDDECISION-24MAY-H0,a39ea485-1f8d-4e52-812d-e1de40702b47,0.86,0.8600
2024-03-24 19:32:56.800113+00:00,6,6.00,1,0.0100,0.99,yes,FEDDECISION-24MAY-H0,b99bf0ca-ecb5-4c8a-baba-57194a4a516f,0.99,0.9900
2024-03-24 19:32:56.800113+00:00,1,1.00,1,0.0100,0.99,yes,FEDDECISION-24MAY-H0,e056730c-34d8-4945-8389-b7d9d894204f,0.99,0.9900
2024-03-24 19:32:56.800113+00:00,21,21.00,5,0.0500,0.95,yes,FEDDECISION-24MAY-H0,c11f6307-5745-47be-aa17-7984835fdec6,0.95,0.9500
2024-03-24 19:32:56.800113+00:00,2,2.00,4,0.0400,0.96,yes,FEDDECISION-24MAY-H0,c25743c8-2c92-4ed9-a464-f08ec3aaaf66,0.96,0.9600
2024-03-24 19:32:56.800113+00:00,7,7.00,4,0.0400,0.96,yes,FEDDECISION-24MAY-H0,c684ce64-4b11-42ff-99a3-03db7bd3b3dd,0.96,0.9600
2024-03-24 19:32:56.800113+00:00,2,2.00,4,0.0400,0.96,yes,FEDDECISION-24MAY-H0,d103d1ea-e5fa-490b-bd0f-3b5f67819e00,0.96,0.9600
2024-03-24 19:32:56.800113+00:00,1,1.00,9,0.0900,0.91,yes,FEDDECISION-24MAY-H0,df78fd24-a4c8-4f39-9fd2-670cec8d4c88,0.91,0.9100
2024-03-24 19:32:56.800113+00:00,1,1.00,10,0.1000,0.9,yes,FEDDECISION-24MAY-H0,7e22122b-b10a-4f9a-ac6a-928edd0faf7f,0.9,0.9000
2024-03-24 19:32:56.800113+00:00,6,6.00,6,0.0600,0.94,yes,FEDDECISION-24MAY-H0,e9efed68-6a28-430d-86dd-13658f0a2e2f,0.94,0.9400
2024-03-24 19:32:56.800113+00:00,47,47.00,2,0.0200,0.98,yes,FEDDECISION-24MAY-H0,f0181264-6712-47fe-8f89-0c93c375db50,0.98,0.9800
2024-03-24 19:32:56.800113+00:00,1,1.00,9,0.0900,0.91,yes,FEDDECISION-24MAY-H0,f33870a4-0624-4f15-b801-92da41117083,0.91,0.9100
2024-03-24 19:32:56.800113+00:00,10,10.00,5,0.0500,0.95,yes,FEDDECISION-24MAY-H0,fe348afe-7df9-4958-ac5f-63cab27e5b3d,0.95,0.9500
2024-03-24 19:32:56.800113+00:00,33,33.00,1,0.0100,0.99,yes,FEDDECISION-24MAY-H0,bcaa46a6-91a8-4897-8dcd-1a5dd9cdfdb5,0.99,0.9900
2024-03-24 19:32:56.800113+00:00,5,5.00,2,0.0200,0.98,yes,FEDDECISION-24MAY-H0,7cd973fc-46ae-494e-bada-70c2a5528e6b,0.98,0.9800
2024-03-24 19:32:56.800113+00:00,22,22.00,5,0.0500,0.95,yes,FEDDECISION-24MAY-H0,6c091e6f-72c7-46ad-911e-50df5853080b,0.95,0.9500
2024-03-24 19:32:56.800113+00:00,3,3.00,3,0.0300,0.97,yes,FEDDECISION-24MAY-H0,75fdef7f-9480-4cb6-b035-a2237b75ce77,0.97,0.9700
2024-03-24 19:32:56.800113+00:00,1,1.00,6,0.0600,0.94,yes,FEDDECISION-24MAY-H0,01f43d83-1a81-40af-817e-d046b7308ce6,0.94,0.9400
2024-03-24 19:32:56.800113+00:00,22,22.00,4,0.0400,0.96,yes,FEDDECISION-24MAY-H0,0239de9f-c961-4200-8630-cb3b693fbc32,0.96,0.9600
2024-03-24 19:32:56.800113+00:00,42,42.00,6,0.0600,0.94,yes,FEDDECISION-24MAY-H0,0e608309-6881-4a22-a021-5983aad49f7e,0.94,0.9400
2024-03-24 19:32:56.800113+00:00,1,1.00,7,0.0700,0.93,yes,FEDDECISION-24MAY-H0,13ffe9fa-a42d-4de7-abcd-07bc1893b99c,0.93,0.9300
2024-03-24 19:32:56.800113+00:00,2,2.00,4,0.0400,0.96,yes,FEDDECISION-24MAY-H0,15b70c8c-5e48-4525-bebe-50bba9913264,0.96,0.9600
2024-03-24 19:32:56.800113+00:00,34,34.00,3,0.0300,0.97,yes,FEDDECISION-24MAY-H0,172b244c-98f6-4828-b23d-6dbe7b1c50c2,0.97,0.9700
2024-03-24 19:32:56.800113+00:00,9,9.00,4,0.0400,0.96,yes,FEDDECISION-24MAY-H0,1bd69d4d-533b-41f5-b34f-74c46f491eff,0.96,0.9600
2024-03-24 19:32:56.800113+00:00,6,6.00,7,0.0700,0.93,yes,FEDDECISION-24MAY-H0,78004303-4986-44ff-87b5-80b6d5a2f0ae,0.93,0.9300
2024-03-24 19:32:56.800113+00:00,10,10.00,2,0.0200,0.98,yes,FEDDECISION-24MAY-H0,390f6cc1-027c-4d53-9ab8-2972ff38f648,0.98,0.9800
2024-03-24 19:32:56.800113+00:00,4,4.00,8,0.0800,0.92,yes,FEDDECISION-24MAY-H0,4108e010-b105-4b21-a4e0-0b0fc1d81d8b,0.92,0.9200
2024-03-24 19:32:56.800113+00:00,2,2.00,3,0.0300,0.97,yes,FEDDECISION-24MAY-H0,1e490f49-022e-451c-8d31-55127c04207b,0.97,0.9700
2024-03-24 19:32:56.800113+00:00,3000,3000.00,13,0.1300,0.87,yes,FEDDECISION-24MAY-H0,4ed15dc9-4e5c-48d4-8d7e-9dae842e6ae1,0.87,0.8700
2024-03-24 19:32:56.800113+00:00,13,13.00,2,0.0200,0.98,yes,FEDDECISION-24MAY-H0,759f974d-0f75-445a-a288-29f62c06ec1f,0.98,0.9800
2024-03-24 19:32:56.800113+00:00,891,891.00,9,0.0900,0.91,yes,FEDDECISION-24MAY-H0,425b7dbf-784c-4fe4-a669-8c452f4be49b,0.91,0.9100
2024-03-24 19:32:56.800113+00:00,10,10.00,3,0.0300,0.97,yes,FEDDECISION-24MAY-H0,610ab3e4-cd46-4b4f-a717-1bc7efc28215,0.97,0.9700
