created_time,count,count_fp,no_price,no_price_dollars,price,taker_side,ticker,trade_id,yes_price,yes_price_dollars
2025-08-05 14:09:42.774648+00:00,1,1.00,64,0.6400,0.36,yes,KXFEDDECISION-25OCT-H0,450d4934-6304-4ad3-87a5-e226809a7832,0.36,0.3600
2025-08-05 14:20:20.729887+00:00,8,8.00,70,0.7000,0.3,no,KXFEDDECISION-25OCT-H0,cb4db953-b5b0-46e8-8843-367f5dcfd7ce,0.3,0.3000
2025-08-05 16:44:59.374254+00:00,1,1.00,70,0.7000,0.3,no,KXFEDDECISION-25OCT-H0,3e75642d-7120-45a0-b6b2-43a6da638e09,0.3,0.3000
2025-08-05 18:01:17.279848+00:00,10,10.00,64,0.6400,0.36,yes,KXFEDDECISION-25OCT-H0,2e6e0339-63ce-4a90-89e5-26332fd4b164,0.36,0.3600
2025-08-05 19:46:11.550676+00:00,1,1.00,64,0.6400,0.36,yes,KXFEDDECISION-25OCT-H0,5550afda-dd25-469f-a3e8-bd197b985710,0.36,0.3600
2025-08-05 22:30:00.406465+00:00,1,1.00,69,0.6900,0.31,no,KXFEDDECISION-25OCT-H0,6fada8c3-4e11-4ede-aa91-9205fd19e9ea,0.31,0.3100
2025-08-05 22:40:10.594985+00:00,1,1.00,65,0.6500,0.35,yes,KXFEDDECISION-25OCT-H0,7f279f3d-9b5a-462f-8919-4a92a1f8f661,0.35,0.3500
2025-08-05 22:45:14.115843+00:00,1,1.00,64,0.6400,0.36,yes,KXFEDDECISION-25OCT-H0,52292ccb-31d9-49d7-9597-73454a1b168d,0.36,0.3600
2025-08-05 22:45:14.115843+00:00,594,594.00,64,0.6400,0.36,yes,KXFEDDECISION-25OCT-H0,1ca92bcd-7ffe-4165-b723-f2a9796f4b55,0.36,0.3600
2025-08-05 22:45:14.115843+00:00,8,8.00,64,0.6400,0.36,yes,KXFEDDECISION-25OCT-H0,3b165219-c04a-475f-9885-2dcf91e41984,0.36,0.3600
2025-08-05 23:03:35.922422+00:00,397,397.00,63,0.6300,0.37,yes,KXFEDDECISION-25OCT-H0,a89a7a3a-cd23-4f15-8ecd-fb6dfc869a52,0.37,0.3700
2025-08-06 12:57:34.448709+00:00,1,1.00,69,0.6900,0.31,no,KXFEDDECISION-25OCT-H0,a01c9e75-db20-419d-902e-53b5abe7156e,0.31,0.3100
2025-08-06 13:11:52.665713+00:00,100,100.00,69,0.6900,0.31,no,KXFEDDECISION-25OCT-H0,e49572c8-68ba-49fb-984d-1b23ef49e22e,0.31,0.3100
2025-08-06 13:13:44.409396+00:00,100,100.00,69,0.6900,0.31,no,KXFEDDECISION-25OCT-H0,b2c368d4-848b-4a91-bda4-b639615d4c56,0.31,0.3100
2025-08-06 13:15:20.006660+00:00,257,257.00,70,0.7000,0.3,no,KXFEDDECISION-25OCT-H0,4762de45-3eab-465e-8a47-117d8fdb2fb6,0.3,0.3000
2025-08-06 13:16:02.851067+00:00,186,186.00,71,0.7100,0.29,no,KXFEDDECISION-25OCT-H0,01984b64-ff4b-4553-82bc-ceb772c9f3d8,0.29,0.2900
2025-08-06 13:16:45.705034+00:00,357,357.00,71,0.7100,0.29,no,KXFEDDECISION-25OCT-H0,e825d34c-bdf8-4970-83ef-6f05f91c2836,0.29,0.2900
2025-08-06 14:46:09.523362+00:00,1,1.00,64,0.6400,0.36,yes,KXFEDDECISION-25OCT-H0,a7049e5b-beca-4805-bf5c-f0c24bdcb5c7,0.36,0.3600
2025-08-06 16:28:14.828647+00:00,1,1.00,70,0.7000,0.3,no,KXFEDDECISION-25OCT-H0,a138a6c8-449a-41f2-973b-023a235c78db,0.3,0.3000
2025-08-06 19:27:38.300356+00:00,1,1.00,77,0.7700,0.23,no,KXFEDDECISION-25OCT-H0,b7a81298-ee8d-4a3d-8ad6-8c4b0ea4d020,0.23,0.2300
2025-08-06 20:18:37.469371+00:00,1,1.00,65,0.6500,0.35,yes,KXFEDDECISION-25OCT-H0,b9ecfbd5-e086-4de6-8039-a9298baa2c79,0.35,0.3500
2025-08-06 20:18:37.469371+00:00,1,1.00,65,0.6500,0.35,yes,KXFEDDECISION-25OCT-H0,f7e3e0c1-f942-42c6-8da7-0d93f15001ce,0.35,0.3500
2025-08-06 23:02:38.565466+00:00,4,4.00,64,0.6400,0.36,yes,KXFEDDECISION-25OCT-H0,3962fd53-d1a7-461b-b4d5-0a71dd45d78e,0.36,0.3600
2025-08-07 12:02:15.384457+00:00,1,1.00,71,0.7100,0.29,no,KXFEDDECISION-25OCT-H0,cefdd634-fcdc-4658-9d31-de2d3d96e3a2,0.29,0.2900
2025-08-07 12:17:28.650996+00:00,1,1.00,70,0.7000,0.3,no,KXFEDDECISION-25OCT-H0,f2f41b91-d0ae-404b-81c4-22c495636bda,0.3,0.3000
2025-08-07 14:10:11.150046+00:00,50,50.00,65,0.6500,0.35,yes,KXFEDDECISION-25OCT-H0,82d9cac4-a678-4c19-8b9f-b85996b8f908,0.35,0.3500
