id,transactionHash,timestamp,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,outcome,datetime,side,usdc_amount,token_amount,price,yes_price,no_price
0xa0f70a39276996d350eeb24d6487fe81f099927b34baa21dca6a065498ce04f6_0xaf882165b29c4515fb62efd0fd830bc941ba250755abb1b6002a93c7002e1f5f,0xa0f70a39276996d350eeb24d6487fe81f099927b34baa21dca6a065498ce04f6,1698933771,0x8debd189ffd74160f25e367bafaed61a9fea7062,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,12408230057550388631927572995498874087256748510441651102756939481228298956369,51.15,55.0,0.0,YES,2023-11-02 14:02:51+00:00,BUY,51.15,55.0,0.9299999999999999,0.9299999999999999,0.07
0xc3abfe8071314b413c857935f3844376df93b3ec9ddf7fedcbbd5401c07ac40b_0xb6ba2fc205fc522b97c23675b78530998f789bd3afeeef9406981ecf2cd5548d,0xc3abfe8071314b413c857935f3844376df93b3ec9ddf7fedcbbd5401c07ac40b,1699017448,0x8debd189ffd74160f25e367bafaed61a9fea7062,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,12408230057550388631927572995498874087256748510441651102756939481228298956369,465.0,500.0,0.0,YES,2023-11-03 13:17:28+00:00,BUY,465.0,500.0,0.93,0.93,0.07
0x909a1f10184c7f5d2058e2b62a4529115b39b89bf300072e19d93bfd1e060787_0x7553937ca0e53c780a5f8cdf879c5b464e42e8dd8a56c645ccbdea4ef2dc8bf6,0x909a1f10184c7f5d2058e2b62a4529115b39b89bf300072e19d93bfd1e060787,1699019005,0x8debd189ffd74160f25e367bafaed61a9fea7062,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,12408230057550388631927572995498874087256748510441651102756939481228298956369,521.7,555.0,0.0,YES,2023-11-03 13:43:25+00:00,BUY,521.7,555.0,0.9400000000000001,0.9400000000000001,0.06
0xb9a86fb0db4e9871d9e387fb2e41b33ee26ca596434072e17ec05957ec88d338_0x6eabc8e691e6c6c93f40973d4cd7df35ca73718ce93e3bcafcd54f5a947aad40,0xb9a86fb0db4e9871d9e387fb2e41b33ee26ca596434072e17ec05957ec88d338,1699034554,0x8debd189ffd74160f25e367bafaed61a9fea7062,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,12408230057550388631927572995498874087256748510441651102756939481228298956369,130.5096,138.84,0.0,YES,2023-11-03 18:02:34+00:00,BUY,130.5096,138.84,0.9400000000000001,0.9400000000000001,0.06
0x5389b921e823254e39783363155e716a1f023b158993ad4f102eceaba92e54cb_0xd4b303ba0882c8fd76aae461c6b1ff88aa27a0567bac19c9851be5bdb6eec564,0x5389b921e823254e39783363155e716a1f023b158993ad4f102eceaba92e54cb,1699059070,0x8debd189ffd74160f25e367bafaed61a9fea7062,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,12408230057550388631927572995498874087256748510441651102756939481228298956369,29.9672,31.88,0.0,YES,2023-11-04 00:51:10+00:00,BUY,29.9672,31.88,0.94,0.94,0.06
0xacf57a97f8cd097ea70cbb4164d4aef8ff3c00c652e8351fbd5b53631e8bcc07_0xcadbe051f40fe114c5b8c2350a56a4d07503cc67479c9b6bae000b70178b3c53,0xacf57a97f8cd097ea70cbb4164d4aef8ff3c00c652e8351fbd5b53631e8bcc07,1699414935,0x8debd189ffd74160f25e367bafaed61a9fea7062,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,12408230057550388631927572995498874087256748510441651102756939481228298956369,23.5,25.0,0.0,YES,2023-11-08 03:42:15+00:00,BUY,23.5,25.0,0.94,0.94,0.06
0xca1cb74edf890d669997365259463c69460e3734aa08442f2fa334fc7ec11f29_0x440fc725ca9920e104307aba0ac7185ba3297fc6145316b6812d90da56de7478,0xca1cb74edf890d669997365259463c69460e3734aa08442f2fa334fc7ec11f29,1699544745,0x8debd189ffd74160f25e367bafaed61a9fea7062,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,0,12408230057550388631927572995498874087256748510441651102756939481228298956369,46.5,50.0,0.0,YES,2023-11-09 15:45:45+00:00,BUY,46.5,50.0,0.93,0.93,0.07
0x6084cf2c7209b6095d6399c539b267744fdb560c8e979f6593bc890a73da4c16_0x88e1be4ebd925777e9596eedbb678fc139b155e69085782f7a7c7a06994dcab2,0x6084cf2c7209b6095d6399c539b267744fdb560c8e979f6593bc890a73da4c16,1699558472,0x8debd189ffd74160f25e367bafaed61a9fea7062,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,12408230057550388631927572995498874087256748510441651102756939481228298956369,56.73,61.0,0.0,YES,2023-11-09 19:34:32+00:00,BUY,56.73,61.0,0.9299999999999999,0.9299999999999999,0.07
0xb2f0c2fe07673457219335ba357ea778fce8d1089919fa3dbe8a2d933f617f6f_0x3c1599566f4e7cb9b3d7de05e1c70b49ad514f5bf11ac285388a9b144f3d5ec1,0xb2f0c2fe07673457219335ba357ea778fce8d1089919fa3dbe8a2d933f617f6f,1699558592,0xcb7cd74a2d15caa89f53971b04277725c30471fc,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,6197481189033769568626680072622228905698064013605526615840685296396952665260,0,195.72,11.7432,0.0,NO,2023-11-09 19:36:32+00:00,SELL,11.7432,195.72,0.06,0.94,0.06
0xfe8c8db775b2e9156e0fe60dc5fb43ba3e9e43b230828fbd6b8c4d04979deaeb_0x50e8fb3dc83ea7def025599151faf8e58e9f0d198b80ddb77b1cf247cb6d3196,0xfe8c8db775b2e9156e0fe60dc5fb43ba3e9e43b230828fbd6b8c4d04979deaeb,1699562741,0x8debd189ffd74160f25e367bafaed61a9fea7062,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,12408230057550388631927572995498874087256748510441651102756939481228298956369,55.7232,59.28,0.0,YES,2023-11-09 20:45:41+00:00,BUY,55.7232,59.28,0.94,0.94,0.06
