id,transactionHash,timestamp,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,outcome,datetime,side,usdc_amount,token_amount,price,yes_price,no_price
0x2f057c6d4cb19ce05be07b96c40bc22f0b2f33afb6e60f473f01b9e0d7a5715a_0x9b3639ce9cac36795f80f0fd9646cadc4b8b543b667873f8f73267941083e31e,0x2f057c6d4cb19ce05be07b96c40bc22f0b2f33afb6e60f473f01b9e0d7a5715a,1718236197,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,0x9c88c0ad88b0c7dd929b0cf040abc9a46b2bc405,0,14987046218227329027080984029949561275408794766325730526435811581087168625932,45.5,50.0,0.0,YES,2024-06-12 23:49:57+00:00,BUY,45.5,50.0,0.91,0.91,0.09
0x449182d34aeeba5cb1b8f29c47118e4081abc3f878d3f9ee68b542b97bc19ad0_0x249a8e27e28009f4d85dac99119b7d341804835cafacab51e5cba03fc28c54cb,0x449182d34aeeba5cb1b8f29c47118e4081abc3f878d3f9ee68b542b97bc19ad0,1718237012,0x3bd0f39c7eca69d2575c861642a4d2e083394c12,0x9c88c0ad88b0c7dd929b0cf040abc9a46b2bc405,0,14987046218227329027080984029949561275408794766325730526435811581087168625932,71.89,79.0,0.0,YES,2024-06-13 00:03:32+00:00,BUY,71.89,79.0,0.91,0.91,0.09
0x588c261bd1e55d9704d08595c44cc6a79b4cc31dd5396a46da4375501a5ee7a1_0x304c141d38845b30571671a98c327a3132d67888c9de5de3acd4c96d3dc36844,0x588c261bd1e55d9704d08595c44cc6a79b4cc31dd5396a46da4375501a5ee7a1,1718240291,0xf8b58c796a3916f94bb36c40f4a57f0cc097a5ca,0x8debd189ffd74160f25e367bafaed61a9fea7062,14987046218227329027080984029949561275408794766325730526435811581087168625932,0,10.0,9.2,0.0,YES,2024-06-13 00:58:11+00:00,SELL,9.2,10.0,0.9199999999999999,0.9199999999999999,0.08
0xd287ea1ee016df23adb2892f6881a0491344767eb90dfd6748a4fdeda5bd6322_0x4107564ad084030505c79b859524996107cd01f707421f3dbca8b1395b53adc6,0xd287ea1ee016df23adb2892f6881a0491344767eb90dfd6748a4fdeda5bd6322,1718263771,0x3bd0f39c7eca69d2575c861642a4d2e083394c12,0xc5d563a36ae78145c45a50134d48a1215220f80a,14987046218227329027080984029949561275408794766325730526435811581087168625932,0,79.0,71.89,0.0,YES,2024-06-13 07:29:31+00:00,SELL,71.89,79.0,0.91,0.91,0.09
0x007a4aab25f654ed6be9c84da307fd43a6ebe4d1738b7bff3da7381df14fe198_0x304c141d38845b30571671a98c327a3132d67888c9de5de3acd4c96d3dc36844,0x007a4aab25f654ed6be9c84da307fd43a6ebe4d1738b7bff3da7381df14fe198,1718280546,0xf8b58c796a3916f94bb36c40f4a57f0cc097a5ca,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,14987046218227329027080984029949561275408794766325730526435811581087168625932,0,990.0,910.8,0.0,YES,2024-06-13 12:09:06+00:00,SELL,910.8,990.0,0.9199999999999999,0.9199999999999999,0.08
0xfe1843aafe9a0ab024853e6c1e3945718c600d125c5af3bfc368655fa43e6a1a_0x6725f08dbc07a23235141e1aea28c1c287512930d231a8f8c2bb2c62b9f31922,0xfe1843aafe9a0ab024853e6c1e3945718c600d125c5af3bfc368655fa43e6a1a,1718281984,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,0x59ee6c6a56d7b00223f0c30f8002c4df762b684d,0,14987046218227329027080984029949561275408794766325730526435811581087168625932,50.325,55.0,0.0,YES,2024-06-13 12:33:04+00:00,BUY,50.325,55.0,0.915,0.915,0.085
0x0b6bad48bd320217a2e4214f3ae707d714823b7c08261deadaf83948cc4a69e4_0xa0db7dd50c14972be1711551b164c1a1bc6a8ae28f4ad12c8fd0c8b79c3b2b6e,0x0b6bad48bd320217a2e4214f3ae707d714823b7c08261deadaf83948cc4a69e4,1718282000,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,0x59ee6c6a56d7b00223f0c30f8002c4df762b684d,0,14987046218227329027080984029949561275408794766325730526435811581087168625932,50.105,55.0,0.0,YES,2024-06-13 12:33:20+00:00,BUY,50.105,55.0,0.9109999999999999,0.9109999999999999,0.089
0x82cf30aad81a7d201902cab5addc742e8b2a1de17d4f68baf76afc4465ab8fb0_0x3d160787e559405a58df4c405151ee65cfcebd010a5788e35ba09ed2b812d377,0x82cf30aad81a7d201902cab5addc742e8b2a1de17d4f68baf76afc4465ab8fb0,1718326854,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,0xd4f3724c54b9abf9f034fc7bc129338cea7348f8,14987046218227329027080984029949561275408794766325730526435811581087168625932,0,0.10799,0.099998,0.0,YES,2024-06-14 01:00:54+00:00,SELL,0.099998,0.10799,0.9259931475136587,0.9259931475136587,0.074007
0x031643a5d041649beade621ebee3a3ff568939d5381753bcc7ce3ca83ac263c4_0x3d160787e559405a58df4c405151ee65cfcebd010a5788e35ba09ed2b812d377,0x031643a5d041649beade621ebee3a3ff568939d5381753bcc7ce3ca83ac263c4,1718342373,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,0x8debd189ffd74160f25e367bafaed61a9fea7062,14987046218227329027080984029949561275408794766325730526435811581087168625932,0,54.89,50.82814,0.0,YES,2024-06-14 05:19:33+00:00,SELL,50.82814,54.89,0.9259999999999999,0.9259999999999999,0.074
0xe7479849831cdb12d5db7627269eb6a47170b945fee688300c8eeb572cb6d0f5_0x9dc292357420230372508f879b3f2ec740db6046bb6a5ec23f410b82abe67eb5,0xe7479849831cdb12d5db7627269eb6a47170b945fee688300c8eeb572cb6d0f5,1718406451,0x8debd189ffd74160f25e367bafaed61a9fea7062,0xc5d563a36ae78145c45a50134d48a1215220f80a,0,14987046218227329027080984029949561275408794766325730526435811581087168625932,92.5,100.0,0.0,YES,2024-06-14 23:07:31+00:00,BUY,92.5,100.0,0.925,0.925,0.075
