id,transactionHash,timestamp,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,outcome,datetime,side,usdc_amount,token_amount,price,yes_price,no_price
0x02ecef31d88c687aef29d6e9e36a778081b399585935bdb205fbbd21a5f1f76a_0x1a95542f43728578ddd7b5a4b846c6d2f742efe1c706c85ae6ef9afd1aecba0c,0x02ecef31d88c687aef29d6e9e36a778081b399585935bdb205fbbd21a5f1f76a,1714610426,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,359.61035,384.61,0.0,YES,2024-05-02 00:40:26+00:00,BUY,359.61035,384.61,0.9349999999999999,0.9349999999999999,0.065
0x6c00d227ad916c92ecdbda463276b3382f990a8699e828cd0d7634de1919a123_0xdcb04bd635f3388bd7e1e4a78792a2e0234ad2e3b9a94a7c42c5e08e08603ac1,0x6c00d227ad916c92ecdbda463276b3382f990a8699e828cd0d7634de1919a123,1714616809,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,384.61,368.45638,0.0,YES,2024-05-02 02:26:49+00:00,SELL,368.45638,384.61,0.9580000000000001,0.9580000000000001,0.042
0x306941156e04faf46c89cf16c89730b9569f512adc1c3d751cc79304a2e05ab6_0x48c22d952626860c70ccdd0149b5215f08b0c203b9960873c9a432fc9515e9af,0x306941156e04faf46c89cf16c89730b9569f512adc1c3d751cc79304a2e05ab6,1714616905,53224487753765579354434176867966731811691409825559123281638739930498374694006,0,500.0,17.0,0.0,NO,2024-05-02 02:28:25+00:00,SELL,17.0,500.0,0.034,0.966,0.034
0xb6fc4ef95055ca4cce3b09dd12dbe432b2243710307649300965c7b18ddb8cd9_0x415b8ec7b0181912852eaef80884fad464dc43e493702df89984f9859d071c97,0xb6fc4ef95055ca4cce3b09dd12dbe432b2243710307649300965c7b18ddb8cd9,1714617233,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,1621.44,1672.0,0.0,YES,2024-05-02 02:33:53+00:00,BUY,1621.44,1672.0,0.9697607655502393,0.9697607655502393,0.030239
0x73324f8871fe623f35bce9d825bdad8834d80b885048b3eef63f3b6a4add637f_0xb0ca921712d65a26b7e92974888ff8f760bb4b1d3c11f9e353708acd2302b1c0,0x73324f8871fe623f35bce9d825bdad8834d80b885048b3eef63f3b6a4add637f,1714636188,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,0.349976,0.3608,0.0,YES,2024-05-02 07:49:48+00:00,BUY,0.349976,0.3608,0.97,0.97,0.03
0xece9ce31ce53c842e317991544470047c1d23f19560e464098e7dbc3d1fa1869_0xf6a0ad109f8ef8a9aa761f282ed10391364232ebcc8074845321cdaf0a31a1e2,0xece9ce31ce53c842e317991544470047c1d23f19560e464098e7dbc3d1fa1869,1714663763,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,9.56,10.0,0.0,YES,2024-05-02 15:29:23+00:00,BUY,9.56,10.0,0.9560000000000001,0.9560000000000001,0.044
0xabbb3fbbd8e27272a9839c71d560d715684ce2f10633841f94a26392d9aaea21_0xf6a0ad109f8ef8a9aa761f282ed10391364232ebcc8074845321cdaf0a31a1e2,0xabbb3fbbd8e27272a9839c71d560d715684ce2f10633841f94a26392d9aaea21,1714664349,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,181.64,190.0,0.0,YES,2024-05-02 15:39:09+00:00,BUY,181.64,190.0,0.956,0.956,0.044
0x08315a21ea67c4ecbd1846351bf3cb8c852ca569600ccce28bf3054ebc99e38f_0x05809d2c0e2598935422c381b2cc58d26b5b2158b1b3c2b78c6d59b39010be41,0x08315a21ea67c4ecbd1846351bf3cb8c852ca569600ccce28bf3054ebc99e38f,1714685767,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,191.2,200.0,0.0,YES,2024-05-02 21:36:07+00:00,BUY,191.2,200.0,0.956,0.956,0.044
0x2d4938b5ad2826d5d887c48a180993799ddbb9006d88cf2c092aeef4cddef117_0x5a45512e0dbf106bb1bad156f378d7421dece9fdcee1357630ac873c4f223244,0x2d4938b5ad2826d5d887c48a180993799ddbb9006d88cf2c092aeef4cddef117,1714686154,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,376.8,400.0,0.0,YES,2024-05-02 21:42:34+00:00,BUY,376.8,400.0,0.9420000000000001,0.9420000000000001,0.058
0x9e7d4cd5901b021d27fbe2240333a9310ac2c0e735816a3449923b983ff29bc0_0xf7b60092ce39edd5fc1de67854392efc12b95de87ed3b0ec649a6227a0805373,0x9e7d4cd5901b021d27fbe2240333a9310ac2c0e735816a3449923b983ff29bc0,1714698307,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,583.433,614.14,0.0,YES,2024-05-03 01:05:07+00:00,BUY,583.433,614.14,0.95,0.95,0.05
0x203663770173577a299e36bd0f2b540bcb161c1af279fc7f71e0c3a99f1bb48b_0xcd3773da58885e3bc2036fe5ec1d22f397d6af90c37d411c5cd15cafb7557c47,0x203663770173577a299e36bd0f2b540bcb161c1af279fc7f71e0c3a99f1bb48b,1714743616,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,188.6,200.0,0.0,YES,2024-05-03 13:40:16+00:00,BUY,188.6,200.0,0.943,0.943,0.057
0x4fb438df929a5c54d18184109c6bad4fde511b1b40f9e9eab4a5e06dde01b439_0x5a45512e0dbf106bb1bad156f378d7421dece9fdcee1357630ac873c4f223244,0x4fb438df929a5c54d18184109c6bad4fde511b1b40f9e9eab4a5e06dde01b439,1714743688,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,1884.0,2000.0,0.0,YES,2024-05-03 13:41:28+00:00,BUY,1884.0,2000.0,0.942,0.942,0.058
0xb126779efdfa1b56a96c54b5a798a978723555fbab41347d73e4e7c04bf0b020_0x5a45512e0dbf106bb1bad156f378d7421dece9fdcee1357630ac873c4f223244,0xb126779efdfa1b56a96c54b5a798a978723555fbab41347d73e4e7c04bf0b020,1714743706,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,659.4,700.0,0.0,YES,2024-05-03 13:41:46+00:00,BUY,659.4,700.0,0.942,0.942,0.058
