id,transactionHash,timestamp,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,outcome,datetime,side,usdc_amount,token_amount,price,yes_price,no_price
0xe4299a596ab8d69219ed001af74e95f6c74ba8b2786fffc2d6d55b0c83af63af_0xb64fb8b7bd9fc8149fe018dbc7b81f0716f4c6970b6a1bfb34c733426a9248cd,0xe4299a596ab8d69219ed001af74e95f6c74ba8b2786fffc2d6d55b0c83af63af,1695374107,0xa58a16ec7792ed3f1ea95f52b150317b93944212,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64491459036649486465219314835076276447891025704214489957553300520629529973873,9.999988,10.309266,0.0,YES,2023-09-22 09:15:07+00:00,BUY,9.999988,10.309266,0.9699999980599978,0.9699999980599978,0.03
0xcf2680c47b3f9e76dffe0524c54f14a4ddf9e14bfc45ac08343953ea1c6e0c21_0x65c02093d7eda48caa8c3a31cda2e61f2d2628bbae911e3d33d973a71136dc68,0xcf2680c47b3f9e76dffe0524c54f14a4ddf9e14bfc45ac08343953ea1c6e0c21,1695509551,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64491459036649486465219314835076276447891025704214489957553300520629529973873,444.0,555.0,0.0,YES,2023-09-23 22:52:31+00:00,BUY,444.0,555.0,0.8,0.8,0.2
0xc28667e055c650fbb70ed38b31c8547cb206700d5da066f181e27bcd487d8520_0xb5f6b0a200cca67b34d99a75d40fa20f5cf208e37fd1f51dc65c9cb4189a97f1,0xc28667e055c650fbb70ed38b31c8547cb206700d5da066f181e27bcd487d8520,1695512765,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64491459036649486465219314835076276447891025704214489957553300520629529973873,710.4,888.0,0.0,YES,2023-09-23 23:46:05+00:00,BUY,710.4,888.0,0.7999999999999999,0.7999999999999999,0.2
0xfaef76c8fde8369bbc38fc844f43770ad70d8628e10c82b413bae25f80206e4d_0xbefb6714bbf6e51c12f7d042d2ad4214590ddbc203a9564ba616f7bfd70aa3d4,0xfaef76c8fde8369bbc38fc844f43770ad70d8628e10c82b413bae25f80206e4d,1695513748,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64491459036649486465219314835076276447891025704214489957553300520629529973873,444.0,555.0,0.0,YES,2023-09-24 00:02:28+00:00,BUY,444.0,555.0,0.8,0.8,0.2
0xa5a4f9a9d4e6d07abfde88f7fb60a4652e16d90dfee41d26517ba7a06acd515d_0x21d76145532de12232745c53046c1238e41d63ff450611b18552e6cc211d0eaf,0xa5a4f9a9d4e6d07abfde88f7fb60a4652e16d90dfee41d26517ba7a06acd515d,1695567985,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64491459036649486465219314835076276447891025704214489957553300520629529973873,400.0,500.0,0.0,YES,2023-09-24 15:06:25+00:00,BUY,400.0,500.0,0.8,0.8,0.2
0xfec842e62f9d82ad47f9a4acd7d5b6cdecb4e73a2b0c2f892b5de9116a3f6169_0x8c4a24872fdc4bbf301eb0914a696b441426c114e6ad84ec96ff5fc81e11fea5,0xfec842e62f9d82ad47f9a4acd7d5b6cdecb4e73a2b0c2f892b5de9116a3f6169,1695627152,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64491459036649486465219314835076276447891025704214489957553300520629529973873,132.8,166.0,0.0,YES,2023-09-25 07:32:32+00:00,BUY,132.8,166.0,0.8,0.8,0.2
0xd889cdd53e3a696cfc97283e4837027c2c88641aef55a8a0e30c832da5cadd65_0xcacc14d49e350c7750b8c17dc00cc55040de71498c88eeb9b352dc1a55f6e365,0xd889cdd53e3a696cfc97283e4837027c2c88641aef55a8a0e30c832da5cadd65,1695738802,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64491459036649486465219314835076276447891025704214489957553300520629529973873,121.5,150.0,0.0,YES,2023-09-26 14:33:22+00:00,BUY,121.5,150.0,0.81,0.81,0.19
0x6c3c2e03a3d716156d045b16ac82207250756b118e6ff5b2d644a6545d4c52ed_0xd325b7c78e0cb8dec0312e4b7bbad6d1dd5cfbad15eb57aebcc03e99536ccfc5,0x6c3c2e03a3d716156d045b16ac82207250756b118e6ff5b2d644a6545d4c52ed,1695858795,0x8debd189ffd74160f25e367bafaed61a9fea7062,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64491459036649486465219314835076276447891025704214489957553300520629529973873,24.9,30.0,0.0,YES,2023-09-27 23:53:15+00:00,BUY,24.9,30.0,0.83,0.83,0.17
0x9d930a9a47af4f939c4ef8b3669ed054ed4cd6c64b1e53d7a4c6e6be39bc98a1_0x6747d648aa75bd42f4bad3825f2d135e51d4d74d713382b7db0ff84bd7fe15df,0x9d930a9a47af4f939c4ef8b3669ed054ed4cd6c64b1e53d7a4c6e6be39bc98a1,1695871629,0xe2b1fc269d0c2e27da11fadd1d9596fe28227d2a,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64491459036649486465219314835076276447891025704214489957553300520629529973873,24.9,30.0,0.0,YES,2023-09-28 03:27:09+00:00,BUY,24.9,30.0,0.83,0.83,0.17
0xe8bc45590471c2a4b74acc8dd8a661b5547c289921bf937971768103d8dfdf4f_0x940fe32810d3dc51f53ebbf71bf0cbc43e3ddde9ed3e207a565d9cbe0624b4d6,0xe8bc45590471c2a4b74acc8dd8a661b5547c289921bf937971768103d8dfdf4f,1695907454,0x8debd189ffd74160f25e367bafaed61a9fea7062,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64491459036649486465219314835076276447891025704214489957553300520629529973873,24.9,30.0,0.0,YES,2023-09-28 13:24:14+00:00,BUY,24.9,30.0,0.83,0.83,0.17
