id,transactionHash,timestamp,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,outcome,datetime,side,usdc_amount,token_amount,price,yes_price,no_price
0xb92de48007876c152a4a256271f29e5da2da8f9ade5a51e3cebd059be6acea52_0xbb8313823f9f043486dca28d86218ab1ae10ab92acd1c15c2e9351dfcee042d4,0xb92de48007876c152a4a256271f29e5da2da8f9ade5a51e3cebd059be6acea52,1714610416,0x4b5a53ee7326eb7deb8de2870871093a49b1024b,0xc5d563a36ae78145c45a50134d48a1215220f80a,0,110024958657457359532038665777399264506271681375762791050970079862807455423716,49.999999,784.615383,0.0,YES,2024-05-02 00:40:16+00:00,BUY,49.999999,784.615383,0.06372548905276817,0.06372548905276817,0.936275
0x9f4089f672d700b4db3d93f89bf845ea886b52b9a64092a159138d9085ff20d3_0x31c2b603a9ce720266ef3958fceea3d195f49a27261c7c037f0e8e875fdd6c02,0x9f4089f672d700b4db3d93f89bf845ea886b52b9a64092a159138d9085ff20d3,1714610424,0x6b7ec4ba079c0a258435ea36025f6190cd424562,0xc5d563a36ae78145c45a50134d48a1215220f80a,41923275653168802773722021577656941405318779178082176346555928498667069501442,0,384.61,359.99496,0.0,NO,2024-05-02 00:40:24+00:00,SELL,359.99496,384.61,0.9359999999999999,0.064,0.9359999999999999
0x6eb6416adc3799779cfbddab103f27e9926a055cb4e9deddffc440e1e4656cee_0x14364371b00551199fcd32c909f23ec0ec7efa89557885b63562d7df9c2fbd1c,0x6eb6416adc3799779cfbddab103f27e9926a055cb4e9deddffc440e1e4656cee,1714617305,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,0x5a560d135484258aa509f6720d31c4ed24f0adab,0,110024958657457359532038665777399264506271681375762791050970079862807455423716,79.5,2650.0,0.0,YES,2024-05-02 02:35:05+00:00,BUY,79.5,2650.0,0.03,0.03,0.97
0x7cbfca74db5b8a648bfcceca6625fdc95a04c7220228114bbe6a2b14847828bc_0x2a56267ad8f9fb0c86327d7e7716f7d7750d48f0c415533ccb46b092ef63378e,0x7cbfca74db5b8a648bfcceca6625fdc95a04c7220228114bbe6a2b14847828bc,1714635594,0xf85520a2cbf1238abd3c72c1c5e3a71e8c78a65b,0xc5d563a36ae78145c45a50134d48a1215220f80a,0,110024958657457359532038665777399264506271681375762791050970079862807455423716,1.999999,47.619046,0.0,YES,2024-05-02 07:39:54+00:00,BUY,1.999999,47.619046,0.04199998042799934,0.04199998042799934,0.958
0x76e3fae59f3781c73bfcd85f69f578047b53b29e8f4b0392197af23b9030f7e2_0x4acf3205182a94cde5d0c0efa972ad2a12c6f14844603a7791cf72b238e7af23,0x76e3fae59f3781c73bfcd85f69f578047b53b29e8f4b0392197af23b9030f7e2,1714663763,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,0x59ee6c6a56d7b00223f0c30f8002c4df762b684d,0,110024958657457359532038665777399264506271681375762791050970079862807455423716,0.21,10.0,0.0,YES,2024-05-02 15:29:23+00:00,BUY,0.21,10.0,0.020999999999999998,0.020999999999999998,0.979
0x1e4415aeec978006514f85dd7bb8ce9486c5d3ab749b191238a0805a23075f84_0x4acf3205182a94cde5d0c0efa972ad2a12c6f14844603a7791cf72b238e7af23,0x1e4415aeec978006514f85dd7bb8ce9486c5d3ab749b191238a0805a23075f84,1714664349,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,0x59ee6c6a56d7b00223f0c30f8002c4df762b684d,0,110024958657457359532038665777399264506271681375762791050970079862807455423716,4.2,200.0,0.0,YES,2024-05-02 15:39:09+00:00,BUY,4.2,200.0,0.021,0.021,0.979
0xa83924fd7a0ffc8ed8d1e4efc1d0e46a7f6718d987b5ff344829c0786ffa968e_0x576c932d54e9f5d71ed698cfbf5fef4105e81ff2c329c6925b7795ea7a09eaa6,0xa83924fd7a0ffc8ed8d1e4efc1d0e46a7f6718d987b5ff344829c0786ffa968e,1714686152,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,0xc5d563a36ae78145c45a50134d48a1215220f80a,0,110024958657457359532038665777399264506271681375762791050970079862807455423716,23.0,600.0,0.0,YES,2024-05-02 21:42:32+00:00,BUY,23.0,600.0,0.03833333333333333,0.03833333333333333,0.961667
0xd4367875154cdec37c49d4ed001f2ead2418f51e6682cb58a89582502e2451eb_0x7e8e52cb6472c3c569c01078c75748cd41419b4ef6d7cbe7028090852370b3d6,0xd4367875154cdec37c49d4ed001f2ead2418f51e6682cb58a89582502e2451eb,1714743704,0xd42f6a1634a3707e27cbae14ca966068e5d1047d,0xc5d563a36ae78145c45a50134d48a1215220f80a,0,110024958657457359532038665777399264506271681375762791050970079862807455423716,29.0,900.0,0.0,YES,2024-05-03 13:41:44+00:00,BUY,29.0,900.0,0.03222222222222222,0.03222222222222222,0.967778
0x031ec9d4db0a563dcb26ef83137d283920493bc14af9c7b91a79f35b423244ba_0x8b8a122f1ae226b34b0d82e1f44a4ec05aca66f778ba187f67167be3c23da351,0x031ec9d4db0a563dcb26ef83137d283920493bc14af9c7b91a79f35b423244ba,1714743940,0xd42f6a1634a3707e27cbae14ca966068e5d1047d,0xc5d563a36ae78145c45a50134d48a1215220f80a,0,110024958657457359532038665777399264506271681375762791050970079862807455423716,236.5,5500.0,0.0,YES,2024-05-03 13:45:40+00:00,BUY,236.5,5500.0,0.043,0.043,0.957
0xf434f142b679c3cc9b0ef67d18d12bf3aa2245c2f0d766417429a2f131ce84c7_0x7c2dcc6be506810d8c6f0e47e9eb4d224f9a0a4bc76fc23d25202ae6b02bb6e9,0xf434f142b679c3cc9b0ef67d18d12bf3aa2245c2f0d766417429a2f131ce84c7,1714743950,0x6b7ec4ba079c0a258435ea36025f6190cd424562,0xc5d563a36ae78145c45a50134d48a1215220f80a,41923275653168802773722021577656941405318779178082176346555928498667069501442,0,700.0,669.9,0.0,NO,2024-05-03 13:45:50+00:00,SELL,669.9,700.0,0.957,0.043,0.957
