id,transactionHash,timestamp,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,outcome,datetime,side,usdc_amount,token_amount,price,yes_price,no_price
0x4e642ce69d9b2533516d11829eb23fdd6c75911a39c5cd382d1f4ced461d9b16_0x2fb54f67693051e4d9c9c5f48dc2d54a83c9719aa044319df023a8cf74f742ae,0x4e642ce69d9b2533516d11829eb23fdd6c75911a39c5cd382d1f4ced461d9b16,1706806814,0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3,0xc5d563a36ae78145c45a50134d48a1215220f80a,0,36077421028184666368397541781786578313775102458600964047317604370778545362617,1.5,15.0,0.0,YES,2024-02-01 17:00:14+00:00,BUY,1.5,15.0,0.1,0.1,0.9
0x481f7c276506ecd558ba900cd36b51f832ce9ad9b0bb9bef3fcece23e951335f_0x56829d79c37819d96e32abd8c27ab9f0d67758cc973476d9d1857c0ba285b8ce,0x481f7c276506ecd558ba900cd36b51f832ce9ad9b0bb9bef3fcece23e951335f,1706825739,0x04674e003bf43f6de5de263a839cf08ae3ba057f,0xc5d563a36ae78145c45a50134d48a1215220f80a,0,36077421028184666368397541781786578313775102458600964047317604370778545362617,9.999988,10.309266,0.0,YES,2024-02-01 22:15:39+00:00,BUY,9.999988,10.309266,0.9699999980599978,0.9699999980599978,0.03
0x79d7469f217011cd5d399db0e4a2a5695e2d50009902c058c09228b3e9f1c3bd_0x2cf06071978aef3b557eeea3313535731b3acf5844ba33eadf0a58fc48b0727e,0x79d7469f217011cd5d399db0e4a2a5695e2d50009902c058c09228b3e9f1c3bd,1708657312,0xd42f6a1634a3707e27cbae14ca966068e5d1047d,0x30e443872ddf63b2908a49f92cd690c304a55102,0,36077421028184666368397541781786578313775102458600964047317604370778545362617,10.5,500.0,0.0,YES,2024-02-23 03:01:52+00:00,BUY,10.5,500.0,0.021,0.021,0.979
0x311315b71536f8a8b9fa84d7bdbce2b155d4b48b06d8ccf834f2c9d084aa978b_0x233ede6e1e1ef4f0367ea4048ed2e916c17c12b0c6f1acfa0aad1f6ea8eebe66,0x311315b71536f8a8b9fa84d7bdbce2b155d4b48b06d8ccf834f2c9d084aa978b,1709020907,0x43372356634781eea88d61bbdd7824cdce958882,0x285e44ebc774abfbe205ccbf1636979309379ae3,0,36077421028184666368397541781786578313775102458600964047317604370778545362617,0.11,5.0,0.0,YES,2024-02-27 08:01:47+00:00,BUY,0.11,5.0,0.022,0.022,0.978
0x5bb192ae9dd17b49b2b0135bedd172b43c8c719971b6c7ccbb6f3d22b7673e05_0x233ede6e1e1ef4f0367ea4048ed2e916c17c12b0c6f1acfa0aad1f6ea8eebe66,0x5bb192ae9dd17b49b2b0135bedd172b43c8c719971b6c7ccbb6f3d22b7673e05,1709021415,0x43372356634781eea88d61bbdd7824cdce958882,0xe25b9180f5687aa85bd94ee309bb72a464320f1b,0,36077421028184666368397541781786578313775102458600964047317604370778545362617,7.216,328.0,0.0,YES,2024-02-27 08:10:15+00:00,BUY,7.216,328.0,0.022000000000000002,0.022000000000000002,0.978
0x8bd5272168f9ae7c6c76ae4eabb7b5230a31e585c6d968ac16530d6792d51c67_0xc2d48cd604cfc92c0aae5a9561561f2e6573daee0353ec854afffa1fb409cb53,0x8bd5272168f9ae7c6c76ae4eabb7b5230a31e585c6d968ac16530d6792d51c67,1709247265,0x67a97665211456a0beb964b64429c7db3de46610,0xc5d563a36ae78145c45a50134d48a1215220f80a,36077421028184666368397541781786578313775102458600964047317604370778545362617,0,1.0,0.022,0.0,YES,2024-02-29 22:54:25+00:00,SELL,0.022,1.0,0.022,0.022,0.978
0xba98c7ec6e4f7de3786909faa376ccadaa496d24dd45b87f5ea33a9b57933121_0xb6c86a2b424a472c5547477d97d7e647389cb1042490bdaaba6c71656118e10f,0xba98c7ec6e4f7de3786909faa376ccadaa496d24dd45b87f5ea33a9b57933121,1709247559,0x67a97665211456a0beb964b64429c7db3de46610,0xc5d563a36ae78145c45a50134d48a1215220f80a,36077421028184666368397541781786578313775102458600964047317604370778545362617,0,9.1,0.2002,0.0,YES,2024-02-29 22:59:19+00:00,SELL,0.2002,9.1,0.022,0.022,0.978
0x177c2560b70964cba639568ea97a74aca962060c63a96fdf24163ae223aad157_0xb414139ee30ace6cbf54706809bb7469fb8c8792ea8da86dbf4b5b2468a1d0f3,0x177c2560b70964cba639568ea97a74aca962060c63a96fdf24163ae223aad157,1709252129,0x43372356634781eea88d61bbdd7824cdce958882,0x59ee6c6a56d7b00223f0c30f8002c4df762b684d,0,36077421028184666368397541781786578313775102458600964047317604370778545362617,0.132,6.0,0.0,YES,2024-03-01 00:15:29+00:00,BUY,0.132,6.0,0.022000000000000002,0.022000000000000002,0.978
0xe22477f73a73650455a94808333e0b258686964e5f3307c1bc06b77d250084e4_0xb414139ee30ace6cbf54706809bb7469fb8c8792ea8da86dbf4b5b2468a1d0f3,0xe22477f73a73650455a94808333e0b258686964e5f3307c1bc06b77d250084e4,1709252641,0x43372356634781eea88d61bbdd7824cdce958882,0x59ee6c6a56d7b00223f0c30f8002c4df762b684d,0,36077421028184666368397541781786578313775102458600964047317604370778545362617,0.132,6.0,0.0,YES,2024-03-01 00:24:01+00:00,BUY,0.132,6.0,0.022000000000000002,0.022000000000000002,0.978
0x4474142a290a660bdbf34e764c716e78c724b8e67aa58655df3b1539bf28c2cc_0xb414139ee30ace6cbf54706809bb7469fb8c8792ea8da86dbf4b5b2468a1d0f3,0x4474142a290a660bdbf34e764c716e78c724b8e67aa58655df3b1539bf28c2cc,1709252996,0x43372356634781eea88d61bbdd7824cdce958882,0x59ee6c6a56d7b00223f0c30f8002c4df762b684d,0,36077421028184666368397541781786578313775102458600964047317604370778545362617,0.132,6.0,0.0,YES,2024-03-01 00:29:56+00:00,BUY,0.132,6.0,0.022000000000000002,0.022000000000000002,0.978
