event_date,contract,source_market,target_market,lag_minutes,f_stat,p_value,coef,coef_p_value,is_sig_5pct
2024-01-31,0bp,CME,PM,1,0.0,0.999997,-0.0,0.999996,False
2024-01-31,0bp,PM,CME,1,0.0,0.999996,-0.0,0.999996,False
2024-01-31,0bp,CME,PM,5,3.9333,0.047346,0.0152,0.047346,True
2024-01-31,0bp,PM,CME,5,0.0,0.997807,0.0,0.997807,False
2024-01-31,0bp,CME,PM,30,7.4968,0.006184,0.0114,0.006184,True
2024-01-31,0bp,PM,CME,30,0.1653,0.68437,0.0003,0.68437,False
2024-01-31,0bp,CME,PM,60,5.4315,0.019782,0.0078,0.019782,True
2024-01-31,0bp,PM,CME,60,0.082,0.774551,0.0001,0.774551,False
2024-01-31,0bp,CME,KAL,1,5.5234,0.018769,-0.0017,0.018769,True
2024-01-31,0bp,KAL,CME,1,0.0,0.99991,-0.0,0.99991,False
2024-01-31,0bp,CME,KAL,5,0.202,0.653144,-0.0002,0.653144,False
2024-01-31,0bp,KAL,CME,5,0.0168,0.896877,0.0031,0.896877,False
2024-01-31,0bp,CME,KAL,30,0.1573,0.691686,-0.0001,0.691686,False
2024-01-31,0bp,KAL,CME,30,0.1587,0.690364,-0.0048,0.690364,False
2024-01-31,0bp,CME,KAL,60,4.1519,0.041596,-0.0004,0.041596,True
2024-01-31,0bp,KAL,CME,60,0.2084,0.648031,0.004,0.648031,False
2024-01-31,0bp,PM,KAL,1,0.0,0.999994,-0.0,0.999994,False
2024-01-31,0bp,KAL,PM,1,0.0,0.999995,-0.0,0.999994,False
2024-01-31,0bp,PM,KAL,5,0.0,0.99999,-0.0,0.99999,False
2024-01-31,0bp,KAL,PM,5,0.0,0.999989,-0.0,0.99999,False
2024-01-31,0bp,PM,KAL,30,0.0,0.999967,-0.0,0.999967,False
2024-01-31,0bp,KAL,PM,30,0.0,0.999972,-0.0,0.999972,False
2024-01-31,0bp,PM,KAL,60,0.0,0.999951,-0.0,0.999951,False
2024-01-31,0bp,KAL,PM,60,0.0,0.999959,-0.0,0.999959,False
2024-03-20,0bp,CME,PM,1,0.0003,0.985802,0.0001,0.985802,False
2024-03-20,0bp,PM,CME,1,65.1094,0.0,-0.0392,0.0,True
2024-03-20,0bp,CME,PM,5,1.6227,0.202721,-0.0026,0.202721,False
2024-03-20,0bp,PM,CME,5,2.554,0.11002,-0.0047,0.11002,False
2024-03-20,0bp,CME,PM,30,24.9012,1e-06,-0.0062,1e-06,True
2024-03-20,0bp,PM,CME,30,0.3217,0.570568,-0.0007,0.570568,False
2024-03-20,0bp,CME,PM,60,12.3647,0.000438,-0.0036,0.000438,True
2024-03-20,0bp,PM,CME,60,2.7917,0.094757,-0.0015,0.094757,False
2024-03-20,0bp,CME,KAL,1,0.2824,0.595158,0.0002,0.595158,False
2024-03-20,0bp,KAL,CME,1,2.1235,0.145056,-0.0716,0.145056,False
2024-03-20,0bp,CME,KAL,5,85.2763,0.0,0.0019,0.0,True
2024-03-20,0bp,KAL,CME,5,4.3595,0.036806,-0.058,0.036806,True
2024-03-20,0bp,CME,KAL,30,130.9848,0.0,0.0014,0.0,True
2024-03-20,0bp,KAL,CME,30,13.5093,0.000238,0.0441,0.000238,True
2024-03-20,0bp,CME,KAL,60,77.4595,0.0,0.0009,0.0,True
2024-03-20,0bp,KAL,CME,60,17.0422,3.7e-05,0.0369,3.7e-05,True
2024-03-20,0bp,PM,KAL,1,0.0,0.999805,-0.0,0.999804,False
2024-03-20,0bp,KAL,PM,1,0.0,0.999784,-0.0,0.999785,False
2024-03-20,0bp,PM,KAL,5,181.1606,0.0,-0.003,0.0,True
2024-03-20,0bp,KAL,PM,5,31.8848,0.0,0.1227,0.0,True
2024-03-20,0bp,PM,KAL,30,228.7947,0.0,-0.0015,0.0,True
2024-03-20,0bp,KAL,PM,30,13.0032,0.000311,-0.0352,0.000311,True
2024-03-20,0bp,PM,KAL,60,166.5102,0.0,-0.0009,0.0,True
2024-03-20,0bp,KAL,PM,60,17.376,3.1e-05,-0.0305,3.1e-05,True
2024-06-12,0bp,CME,PM,1,0.1228,0.72602,0.0001,0.72602,False
2024-06-12,0bp,PM,CME,1,5.4945,0.019079,-0.109,0.019079,True
2024-06-12,0bp,CME,PM,5,1.7351,0.187763,0.0003,0.187763,False
2024-06-12,0bp,PM,CME,5,2.1888,0.139022,-0.0409,0.139022,False
2024-06-12,0bp,CME,PM,30,1.8702,0.171459,0.0002,0.171459,False
2024-06-12,0bp,PM,CME,30,0.1204,0.728614,0.0042,0.728614,False
2024-06-12,0bp,CME,PM,60,0.3145,0.57494,0.0001,0.57494,False
2024-06-12,0bp,PM,CME,60,0.1423,0.705973,0.0035,0.705973,False
2024-06-12,0bp,CME,KAL,1,1.6342,0.201134,0.0003,0.201134,False
2024-06-12,0bp,KAL,CME,1,2.2355,0.134875,-0.1155,0.134875,False
2024-06-12,0bp,CME,KAL,5,10.0804,0.001499,0.0005,0.001499,True
2024-06-12,0bp,KAL,CME,5,0.0092,0.923492,-0.0044,0.923492,False
2024-06-12,0bp,CME,KAL,30,0.1929,0.660492,0.0,0.660492,False
2024-06-12,0bp,KAL,CME,30,1.7176,0.190007,0.0251,0.190007,False
2024-06-12,0bp,CME,KAL,60,1.8471,0.17413,0.0001,0.17413,False
2024-06-12,0bp,KAL,CME,60,1.6381,0.200585,0.0174,0.200585,False
2024-06-12,0bp,PM,KAL,1,0.0111,0.916235,-0.0003,0.916235,False
2024-06-12,0bp,KAL,PM,1,0.4553,0.499824,0.0046,0.499824,False
2024-06-12,0bp,PM,KAL,5,0.609,0.435184,-0.0012,0.435184,False
2024-06-12,0bp,KAL,PM,5,21.0605,4e-06,0.0186,4e-06,True
2024-06-12,0bp,PM,KAL,30,0.7155,0.397631,0.0006,0.397631,False
2024-06-12,0bp,KAL,PM,30,18.2153,2e-05,0.0073,2e-05,True
2024-06-12,0bp,PM,KAL,60,0.0558,0.813201,-0.0001,0.813201,False
2024-06-12,0bp,KAL,PM,60,29.3791,0.0,0.0066,0.0,True
2024-07-31,0bp,CME,PM,1,2.4572,0.116991,0.0033,0.116991,False
2024-07-31,0bp,PM,CME,1,0.0345,0.852608,0.0013,0.852608,False
2024-07-31,0bp,CME,PM,5,0.3107,0.577283,-0.0008,0.577283,False
2024-07-31,0bp,PM,CME,5,7.72,0.005463,0.0114,0.005463,True
2024-07-31,0bp,CME,PM,30,3.2242,0.072559,0.0013,0.072559,False
2024-07-31,0bp,PM,CME,30,15.7656,7.2e-05,0.0081,7.2e-05,True
2024-07-31,0bp,CME,PM,60,10.1057,0.001479,0.0018,0.001479,True
2024-07-31,0bp,PM,CME,60,9.257,0.002347,0.0052,0.002347,True
2024-07-31,0bp,CME,KAL,1,27.9213,0.0,-0.007,0.0,True
2024-07-31,0bp,KAL,CME,1,5.4271,0.019829,-0.0248,0.019829,True
2024-07-31,0bp,CME,KAL,5,181.0564,0.0,0.0121,0.0,True
2024-07-31,0bp,KAL,CME,5,41.9512,0.0,-0.0411,0.0,True
2024-07-31,0bp,CME,KAL,30,157.7257,0.0,0.0059,0.0,True
2024-07-31,0bp,KAL,CME,30,5.89,0.01523,0.0069,0.01523,True
2024-07-31,0bp,CME,KAL,60,121.4127,0.0,0.0042,0.0,True
2024-07-31,0bp,KAL,CME,60,34.0471,0.0,0.0125,0.0,True
2024-07-31,0bp,PM,KAL,1,28.1414,0.0,-0.0128,0.0,True
2024-07-31,0bp,KAL,PM,1,0.0055,0.940963,-0.0004,0.940963,False
2024-07-31,0bp,PM,KAL,5,3.6074,0.057528,-0.0028,0.057528,False
2024-07-31,0bp,KAL,PM,5,2.288,0.13038,0.0054,0.13038,False
2024-07-31,0bp,PM,KAL,30,1.0713,0.300666,-0.0008,0.300666,False
2024-07-31,0bp,KAL,PM,30,65.8626,0.0,0.0127,0.0,True
2024-07-31,0bp,PM,KAL,60,1.252,0.263179,0.0007,0.263179,False
2024-07-31,0bp,KAL,PM,60,73.8306,0.0,0.0101,0.0,True
2024-11-07,0bp,CME,PM,1,37.2984,0.0,0.0146,0.0,True
2024-11-07,0bp,PM,CME,1,0.2438,0.62149,-0.0038,0.62149,False
2024-11-07,0bp,CME,PM,5,80.1345,0.0,0.0155,0.0,True
2024-11-07,0bp,PM,CME,5,5.9863,0.014421,-0.0125,0.014421,True
2024-11-07,0bp,CME,PM,30,139.3975,0.0,0.0125,0.0,True
2024-11-07,0bp,PM,CME,30,16.8924,4e-05,0.0114,4e-05,True
2024-11-07,0bp,CME,PM,60,193.905,0.0,0.0124,0.0,True
2024-11-07,0bp,PM,CME,60,61.6826,0.0,0.0189,0.0,True
2024-11-07,0bp,CME,KAL,1,56.172,0.0,0.0203,0.0,True
2024-11-07,0bp,KAL,CME,1,1.218,0.269754,-0.0075,0.269754,False
2024-11-07,0bp,CME,KAL,5,165.9073,0.0,0.0256,0.0,True
2024-11-07,0bp,KAL,CME,5,1.0295,0.310286,-0.0042,0.310286,False
2024-11-07,0bp,CME,KAL,30,144.4773,0.0,0.0144,0.0,True
2024-11-07,0bp,KAL,CME,30,28.0283,0.0,0.0102,0.0,True
2024-11-07,0bp,CME,KAL,60,111.4738,0.0,0.0105,0.0,True
2024-11-07,0bp,KAL,CME,60,38.2932,0.0,0.0095,0.0,True
2024-11-07,0bp,PM,KAL,1,56.179,0.0,0.0365,0.0,True
2024-11-07,0bp,KAL,PM,1,7.9611,0.004781,0.0108,0.004781,True
2024-11-07,0bp,PM,KAL,5,3.863,0.049367,0.0064,0.049367,True
2024-11-07,0bp,KAL,PM,5,94.6318,0.0,0.0225,0.0,True
2024-11-07,0bp,PM,KAL,30,33.7565,0.0,0.0104,0.0,True
2024-11-07,0bp,KAL,PM,30,84.7309,0.0,0.01,0.0,True
2024-11-07,0bp,PM,KAL,60,29.2294,0.0,0.0082,0.0,True
2024-11-07,0bp,KAL,PM,60,88.3168,0.0,0.0082,0.0,True
2024-12-18,0bp,CME,PM,1,1.3553,0.244354,0.0048,0.244354,False
2024-12-18,0bp,PM,CME,1,2.4229,0.119579,0.0052,0.119579,False
2024-12-18,0bp,CME,PM,5,61.509,0.0,0.0225,0.0,True
2024-12-18,0bp,PM,CME,5,0.8458,0.357744,0.0024,0.357744,False
2024-12-18,0bp,CME,PM,30,284.6162,0.0,0.0269,0.0,True
2024-12-18,0bp,PM,CME,30,33.7903,0.0,0.0096,0.0,True
2024-12-18,0bp,CME,PM,60,272.9778,0.0,0.0217,0.0,True
2024-12-18,0bp,PM,CME,60,65.7229,0.0,0.0111,0.0,True
2024-12-18,0bp,CME,KAL,1,35.3623,0.0,0.0349,0.0,True
2024-12-18,0bp,KAL,CME,1,0.9039,0.341745,-0.0023,0.341745,False
2024-12-18,0bp,CME,KAL,5,70.2549,0.0,0.0346,0.0,True
2024-12-18,0bp,KAL,CME,5,14.7604,0.000122,-0.0056,0.000122,True
2024-12-18,0bp,CME,KAL,30,47.2337,0.0,0.0154,0.0,True
2024-12-18,0bp,KAL,CME,30,0.3841,0.535417,0.0004,0.535417,False
2024-12-18,0bp,CME,KAL,60,53.2361,0.0,0.013,0.0,True
2024-12-18,0bp,KAL,CME,60,0.0121,0.912329,0.0001,0.912329,False
2024-12-18,0bp,PM,KAL,1,1.4915,0.221988,-0.0064,0.221988,False
2024-12-18,0bp,KAL,PM,1,4.6767,0.030577,0.0057,0.030577,True
2024-12-18,0bp,PM,KAL,5,2.5292,0.111765,-0.0065,0.111765,False
2024-12-18,0bp,KAL,PM,5,11.5289,0.000686,0.0054,0.000686,True
2024-12-18,0bp,PM,KAL,30,9.3978,0.002173,-0.0079,0.002173,True
2024-12-18,0bp,KAL,PM,30,20.583,6e-06,0.0033,6e-06,True
2024-12-18,0bp,PM,KAL,60,4.4522,0.034859,0.0044,0.034859,True
2024-12-18,0bp,KAL,PM,60,11.4006,0.000735,0.0019,0.000735,True
