event_date,contract,source_market,target_market,lag_minutes,VECM_coefficient,p_value,is_significant,is_raw_stationary,is_firstdiff_stationary,is_cointegrated
1/29/2025,25bp_dec,CME,PM,1,-0.004708,0,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,CME,PM,5,-0.002955,0,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,CME,PM,30,-0.001106,0.00275,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,CME,PM,60,-0.000892,0.015714,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,PM,CME,1,-0.00257,0,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,PM,CME,5,-0.001702,0,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,PM,CME,30,-0.000948,0.002689,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,PM,CME,60,-0.000538,0.085975,FALSE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,CME,KAL,1,-0.002751,0,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,CME,KAL,5,-0.002023,0,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,CME,KAL,30,-0.000768,0.005319,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,CME,KAL,60,-0.0008,0.003693,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,KAL,CME,1,-0.002524,0,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,KAL,CME,5,-0.001439,1.00E-06,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,KAL,CME,30,-0.000742,0.011376,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,KAL,CME,60,-0.000379,0.192348,FALSE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,PM,KAL,1,-0.004501,0,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,PM,KAL,5,-0.00245,0,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,PM,KAL,30,-0.001264,0.000385,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,PM,KAL,60,-0.000754,0.03426,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,KAL,PM,1,-0.005247,0,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,KAL,PM,5,-0.002969,0,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,KAL,PM,30,-0.001751,7.60E-05,TRUE,TRUE,TRUE,TRUE
1/29/2025,25bp_dec,KAL,PM,60,-0.000833,0.060267,FALSE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,CME,PM,1,-0.003975,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,CME,PM,5,-0.002028,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,CME,PM,30,-0.000934,0.001083,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,CME,PM,60,-0.000861,0.002576,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,PM,CME,1,-0.021579,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,PM,CME,5,-0.012738,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,PM,CME,30,-0.003818,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,PM,CME,60,-0.00246,0.000464,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,CME,KAL,1,-0.002002,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,CME,KAL,5,-0.002064,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,CME,KAL,30,-0.001045,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,CME,KAL,60,-0.000706,0.000222,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,KAL,CME,1,-0.017722,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,KAL,CME,5,-0.010716,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,KAL,CME,30,-0.003177,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,KAL,CME,60,-0.001706,0.006867,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,PM,KAL,1,-0.003767,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,PM,KAL,5,-0.003477,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,PM,KAL,30,-0.002028,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,PM,KAL,60,-0.001452,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,KAL,PM,1,-0.005997,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,KAL,PM,5,-0.003201,0,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,KAL,PM,30,-0.001583,1.60E-05,TRUE,TRUE,TRUE,TRUE
3/19/2025,25bp_dec,KAL,PM,60,-0.001246,0.000686,TRUE,TRUE,TRUE,TRUE
5/7/2025,25bp_dec,CME,PM,1,-0.006556,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,CME,PM,5,-0.003896,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,CME,PM,30,-0.001452,0.000191,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,CME,PM,60,-0.000457,0.238985,FALSE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,CME,1,-0.007261,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,CME,5,-0.00277,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,CME,30,-0.001329,0.007187,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,CME,60,-0.000818,0.098216,FALSE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,CME,KAL,1,-0.007736,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,CME,KAL,5,-0.002591,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,CME,KAL,30,-0.001154,0.008908,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,CME,KAL,60,-0.000475,0.277887,FALSE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,CME,1,-0.005086,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,CME,5,-0.001856,3.00E-06,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,CME,30,-0.001034,0.009307,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,CME,60,-0.000521,0.190134,FALSE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,KAL,1,-0.015971,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,KAL,5,-0.005242,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,KAL,30,-0.002738,5.10E-05,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,KAL,60,-0.001458,0.029936,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,PM,1,-0.007718,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,PM,5,-0.003867,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,PM,30,-0.000945,0.048782,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,PM,60,-0.000843,0.078046,FALSE,FALSE,TRUE,TRUE
6/18/2025,25bp_dec,CME,PM,1,-0.002091,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,CME,PM,5,-0.00144,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,CME,PM,30,-0.000529,0.04386,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,CME,PM,60,-0.000309,0.239833,FALSE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,PM,CME,1,-0.00874,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,PM,CME,5,-0.005881,0,TRUE,TRUE,TRUE,TRUE
