event_date,contract,source_market,target_market,lag_minute,FEVD
2024-01-31,0bp,CME,PM,1,8.90101410479695e-06
2024-01-31,0bp,CME,PM,5,0.0008390878966750239
2024-01-31,0bp,CME,PM,30,0.00476608222493808
2024-01-31,0bp,CME,PM,60,0.013682190449545757
2024-01-31,0bp,PM,CME,1,2.4585991027239417e-06
2024-01-31,0bp,PM,CME,5,1.596485975757136e-05
2024-01-31,0bp,PM,CME,30,0.00435238566056413
2024-01-31,0bp,PM,CME,60,0.005162923500980591
2024-01-31,0bp,CME,KAL,1,0.0001244607360823864
2024-01-31,0bp,CME,KAL,5,0.0011269719660457925
2024-01-31,0bp,CME,KAL,30,0.006498501258996917
2024-01-31,0bp,CME,KAL,60,0.008821251123401699
2024-01-31,0bp,KAL,CME,1,6.791841862122605e-07
2024-01-31,0bp,KAL,CME,5,1.5783250426671514e-05
2024-01-31,0bp,KAL,CME,30,0.0009031984800313488
2024-01-31,0bp,KAL,CME,60,0.001140488238128299
2024-01-31,0bp,PM,KAL,1,5.130664576784422e-15
2024-01-31,0bp,PM,KAL,5,1.532727338377873e-14
2024-01-31,0bp,PM,KAL,30,3.530367256765659e-14
2024-01-31,0bp,PM,KAL,60,3.531859129924331e-14
2024-01-31,0bp,KAL,PM,1,4.8281201385011e-15
2024-01-31,0bp,KAL,PM,5,1.2639156015823481e-14
2024-01-31,0bp,KAL,PM,30,2.8720855887430634e-14
2024-01-31,0bp,KAL,PM,60,2.873292520736407e-14
2024-03-20,0bp,CME,PM,1,1.267447424324892e-05
2024-03-20,0bp,CME,PM,5,1.704512739594239e-05
2024-03-20,0bp,CME,PM,30,0.008651080296798466
2024-03-20,0bp,CME,PM,60,0.01074573246134642
2024-03-20,0bp,PM,CME,1,0.0008461257200764477
2024-03-20,0bp,PM,CME,5,0.001615685528429997
2024-03-20,0bp,PM,CME,30,0.0029489177203566273
2024-03-20,0bp,PM,CME,60,0.004279068009209933
2024-03-20,0bp,CME,KAL,1,0.00015458685540178902
2024-03-20,0bp,CME,KAL,5,0.003993473552931585
2024-03-20,0bp,CME,KAL,30,0.007458491805086866
2024-03-20,0bp,CME,KAL,60,0.01164088321717515
2024-03-20,0bp,KAL,CME,1,6.817403506850962e-05
2024-03-20,0bp,KAL,CME,5,0.001240195841178119
2024-03-20,0bp,KAL,CME,30,0.00836402940626143
2024-03-20,0bp,KAL,CME,60,0.01195548365628508
2024-03-20,0bp,PM,KAL,1,2.858905465693353e-07
2024-03-20,0bp,PM,KAL,5,0.012833143848402683
2024-03-20,0bp,PM,KAL,30,0.027955069990201264
2024-03-20,0bp,PM,KAL,60,0.027867788195370228
2024-03-20,0bp,KAL,PM,1,5.083634891029977e-07
2024-03-20,0bp,KAL,PM,5,1.0867200131461716e-05
2024-03-20,0bp,KAL,PM,30,0.013645376824238007
2024-03-20,0bp,KAL,PM,60,0.013646499509886249
2024-06-12,0bp,CME,PM,1,2.049694664429872e-05
2024-06-12,0bp,CME,PM,5,4.897372593122934e-05
2024-06-12,0bp,CME,PM,30,0.000389587262222837
